V4_0,Time_codelist,Time,Geography_codelist,Geography,Age_codelist,Age,Sex_codelist,Sex
333,Year,2013,E38000001,,,89,,Female
485,Year,2013,E38000001,,,90,,Male
1335,Year,2013,E38000001,,,90,,Female
781,Year,2013,E38000002,,,0,,Male
785,Year,2013,E38000002,,,0,,Female
835,Year,2013,E38000002,,,1,,Male
772,Year,2013,E38000002,,,1,,Female
816,Year,2013,E38000002,,,2,,Male
765,Year,2013,E38000002,,,2,,Female
754,Year,2013,E38000002,,,3,,Male
821,Year,2013,E38000002,,,3,,Female
819,Year,2013,E38000002,,,4,,Male
803,Year,2013,E38000002,,,4,,Female
841,Year,2013,E38000002,,,5,,Male
820,Year,2013,E38000002,,,5,,Female
817,Year,2013,E38000002,,,6,,Male
799,Year,2013,E38000002,,,6,,Female
783,Year,2013,E38000002,,,7,,Male
754,Year,2013,E38000002,,,7,,Female
752,Year,2013,E38000002,,,8,,Male
741,Year,2013,E38000002,,,8,,Female
803,Year,2013,E38000002,,,9,,Male
751,Year,2013,E38000002,,,9,,Female
761,Year,2013,E38000002,,,10,,Male
784,Year,2013,E38000002,,,10,,Female
819,Year,2013,E38000002,,,11,,Male
754,Year,2013,E38000002,,,11,,Female
796,Year,2013,E38000002,,,12,,Male
775,Year,2013,E38000002,,,12,,Female
788,Year,2013,E38000002,,,13,,Male
724,Year,2013,E38000002,,,13,,Female
816,Year,2013,E38000002,,,14,,Male
819,Year,2013,E38000002,,,14,,Female
754,Year,2013,E38000002,,,15,,Male
815,Year,2013,E38000002,,,15,,Female
832,Year,2013,E38000002,,,16,,Male
819,Year,2013,E38000002,,,16,,Female
814,Year,2013,E38000002,,,17,,Male
753,Year,2013,E38000002,,,17,,Female
802,Year,2013,E38000002,,,18,,Male
732,Year,2013,E38000002,,,18,,Female
679,Year,2013,E38000002,,,19,,Male
592,Year,2013,E38000002,,,19,,Female
654,Year,2013,E38000002,,,20,,Male
583,Year,2013,E38000002,,,20,,Female
663,Year,2013,E38000002,,,21,,Male
624,Year,2013,E38000002,,,21,,Female
636,Year,2013,E38000002,,,22,,Male
631,Year,2013,E38000002,,,22,,Female
663,Year,2013,E38000002,,,23,,Male
703,Year,2013,E38000002,,,23,,Female
644,Year,2013,E38000002,,,24,,Male
717,Year,2013,E38000002,,,24,,Female
693,Year,2013,E38000002,,,25,,Male
742,Year,2013,E38000002,,,25,,Female
684,Year,2013,E38000002,,,26,,Male
726,Year,2013,E38000002,,,26,,Female
654,Year,2013,E38000002,,,27,,Male
752,Year,2013,E38000002,,,27,,Female
642,Year,2013,E38000002,,,28,,Male
701,Year,2013,E38000002,,,28,,Female
627,Year,2013,E38000002,,,29,,Male
706,Year,2013,E38000002,,,29,,Female
656,Year,2013,E38000002,,,30,,Male
733,Year,2013,E38000002,,,30,,Female
590,Year,2013,E38000002,,,31,,Male
735,Year,2013,E38000002,,,31,,Female
610,Year,2013,E38000002,,,32,,Male
729,Year,2013,E38000002,,,32,,Female
670,Year,2013,E38000002,,,33,,Male
753,Year,2013,E38000002,,,33,,Female
663,Year,2013,E38000002,,,34,,Male
748,Year,2013,E38000002,,,34,,Female
639,Year,2013,E38000002,,,35,,Male
719,Year,2013,E38000002,,,35,,Female
636,Year,2013,E38000002,,,36,,Male
700,Year,2013,E38000002,,,36,,Female
661,Year,2013,E38000002,,,37,,Male
720,Year,2013,E38000002,,,37,,Female
707,Year,2013,E38000002,,,38,,Male
725,Year,2013,E38000002,,,38,,Female
767,Year,2013,E38000002,,,39,,Male
823,Year,2013,E38000002,,,39,,Female
766,Year,2013,E38000002,,,40,,Male
871,Year,2013,E38000002,,,40,,Female
796,Year,2013,E38000002,,,41,,Male
868,Year,2013,E38000002,,,41,,Female
850,Year,2013,E38000002,,,42,,Male
985,Year,2013,E38000002,,,42,,Female
921,Year,2013,E38000002,,,43,,Male
986,Year,2013,E38000002,,,43,,Female
971,Year,2013,E38000002,,,44,,Male
979,Year,2013,E38000002,,,44,,Female
986,Year,2013,E38000002,,,45,,Male
973,Year,2013,E38000002,,,45,,Female
973,Year,2013,E38000002,,,46,,Male
982,Year,2013,E38000002,,,46,,Female
958,Year,2013,E38000002,,,47,,Male
1003,Year,2013,E38000002,,,47,,Female
946,Year,2013,E38000002,,,48,,Male
938,Year,2013,E38000002,,,48,,Female
957,Year,2013,E38000002,,,49,,Male
933,Year,2013,E38000002,,,49,,Female
897,Year,2013,E38000002,,,50,,Male
919,Year,2013,E38000002,,,50,,Female
902,Year,2013,E38000002,,,51,,Male
889,Year,2013,E38000002,,,51,,Female
867,Year,2013,E38000002,,,52,,Male
809,Year,2013,E38000002,,,52,,Female
792,Year,2013,E38000002,,,53,,Male
754,Year,2013,E38000002,,,53,,Female
755,Year,2013,E38000002,,,54,,Male
788,Year,2013,E38000002,,,54,,Female
693,Year,2013,E38000002,,,55,,Male
744,Year,2013,E38000002,,,55,,Female
701,Year,2013,E38000002,,,56,,Male
721,Year,2013,E38000002,,,56,,Female
630,Year,2013,E38000002,,,57,,Male
725,Year,2013,E38000002,,,57,,Female
682,Year,2013,E38000002,,,58,,Male
705,Year,2013,E38000002,,,58,,Female
631,Year,2013,E38000002,,,59,,Male
676,Year,2013,E38000002,,,59,,Female
648,Year,2013,E38000002,,,60,,Male
666,Year,2013,E38000002,,,60,,Female
694,Year,2013,E38000002,,,61,,Male
687,Year,2013,E38000002,,,61,,Female
657,Year,2013,E38000002,,,62,,Male
679,Year,2013,E38000002,,,62,,Female
683,Year,2013,E38000002,,,63,,Male
744,Year,2013,E38000002,,,63,,Female
698,Year,2013,E38000002,,,64,,Male
786,Year,2013,E38000002,,,64,,Female
809,Year,2013,E38000002,,,65,,Male
827,Year,2013,E38000002,,,65,,Female
857,Year,2013,E38000002,,,66,,Male
959,Year,2013,E38000002,,,66,,Female
