V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
440.0,,1.9,Year,2016,K02000001,,,£300 - £400,,All,,No pension provision,,13 to 99 employees
55.0,,5.5,Year,2016,K02000001,,,£400 - £500,,All,,Defined benefit,,13 to 99 employees
126.0,,3.6,Year,2016,K02000001,,,£400 - £500,,All,,Defined contribution,,13 to 99 employees
153.0,,3.3,Year,2016,K02000001,,,£400 - £500,,All,,Group personal pension,,13 to 99 employees
8.0,,15.0,Year,2016,K02000001,,,£400 - £500,,All,,Group self-invested personal pension,,13 to 99 employees
49.0,,5.8,Year,2016,K02000001,,,£400 - £500,,All,,Group stakeholder pension,,13 to 99 employees
17.0,,9.9,Year,2016,K02000001,,,£400 - £500,,All,,Unknown pension provision,,13 to 99 employees
342.0,,2.2,Year,2016,K02000001,,,£400 - £500,,All,,No pension provision,,13 to 99 employees
37.0,,6.8,Year,2016,K02000001,,,£500 - £600,,All,,Defined benefit,,13 to 99 employees
90.0,,4.4,Year,2016,K02000001,,,£500 - £600,,All,,Defined contribution,,13 to 99 employees
131.0,,3.7,Year,2016,K02000001,,,£500 - £600,,All,,Group personal pension,,13 to 99 employees
4.0,,20.0,Year,2016,K02000001,,,£500 - £600,,All,,Group self-invested personal pension,,13 to 99 employees
36.0,,6.9,Year,2016,K02000001,,,£500 - £600,,All,,Group stakeholder pension,,13 to 99 employees
13.0,,12.0,Year,2016,K02000001,,,£500 - £600,,All,,Unknown pension provision,,13 to 99 employees
216.0,,2.8,Year,2016,K02000001,,,£500 - £600,,All,,No pension provision,,13 to 99 employees
124.0,,3.8,Year,2016,K02000001,,,£600 and over,,All,,Defined benefit,,13 to 99 employees
198.0,,3.1,Year,2016,K02000001,,,£600 and over,,All,,Defined contribution,,13 to 99 employees
379.0,,2.2,Year,2016,K02000001,,,£600 and over,,All,,Group personal pension,,13 to 99 employees
21.0,,9.7,Year,2016,K02000001,,,£600 and over,,All,,Group self-invested personal pension,,13 to 99 employees
104.0,,4.3,Year,2016,K02000001,,,£600 and over,,All,,Group stakeholder pension,,13 to 99 employees
30.0,,8.0,Year,2016,K02000001,,,£600 and over,,All,,Unknown pension provision,,13 to 99 employees
431.0,,2.1,Year,2016,K02000001,,,£600 and over,,All,,No pension provision,,13 to 99 employees
742.0,,1.5,Year,2016,K02000001,,,100 to 499 employees,,All,,Defined benefit,,100 to 499 employees
803.0,,1.4,Year,2016,K02000001,,,100 to 499 employees,,All,,Defined contribution,,100 to 499 employees
1094.0,,1.2,Year,2016,K02000001,,,100 to 499 employees,,All,,Group personal pension,,100 to 499 employees
48.0,,6.1,Year,2016,K02000001,,,100 to 499 employees,,All,,Group self-invested personal pension,,100 to 499 employees
270.0,,2.5,Year,2016,K02000001,,,100 to 499 employees,,All,,Group stakeholder pension,,100 to 499 employees
80.0,,4.5,Year,2016,K02000001,,,100 to 499 employees,,All,,Unknown pension provision,,100 to 499 employees
926.0,,1.3,Year,2016,K02000001,,,100 to 499 employees,,All,,No pension provision,,100 to 499 employees
23.0,,8.1,Year,2016,K02000001,,,Less than £100,,All,,Defined benefit,,100 to 499 employees
18.0,,8.6,Year,2016,K02000001,,,Less than £100,,All,,Defined contribution,,100 to 499 employees
11.0,,11.0,Year,2016,K02000001,,,Less than £100,,All,,Group personal pension,,100 to 499 employees
,x,71.0,Year,2016,K02000001,,,Less than £100,,All,,Group self-invested personal pension,,100 to 499 employees
