V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
,x,29.0,Year,2016,K02000001,,,£100 - £200,,All,,Group self-invested personal pension,,100 to 499 employees
2.9,,12.0,Year,2016,K02000001,,,£100 - £200,,All,,Group stakeholder pension,,100 to 499 employees
,x,21.0,Year,2016,K02000001,,,£100 - £200,,All,,Unknown pension provision,,100 to 499 employees
54.1,,2.0,Year,2016,K02000001,,,£100 - £200,,All,,No pension provision,,100 to 499 employees
18.2,,3.9,Year,2016,K02000001,,,£200 - £300,,All,,Defined benefit,,100 to 499 employees
23.9,,3.2,Year,2016,K02000001,,,£200 - £300,,All,,Defined contribution,,100 to 499 employees
18.1,,3.9,Year,2016,K02000001,,,£200 - £300,,All,,Group personal pension,,100 to 499 employees
,x,27.0,Year,2016,K02000001,,,£200 - £300,,All,,Group self-invested personal pension,,100 to 499 employees
5.4,,7.6,Year,2016,K02000001,,,£200 - £300,,All,,Group stakeholder pension,,100 to 499 employees
2.1,,12.0,Year,2016,K02000001,,,£200 - £300,,All,,Unknown pension provision,,100 to 499 employees
31.9,,2.7,Year,2016,K02000001,,,£200 - £300,,All,,No pension provision,,100 to 499 employees
14.5,,3.7,Year,2016,K02000001,,,£300 - £400,,All,,Defined benefit,,100 to 499 employees
25.6,,2.6,Year,2016,K02000001,,,£300 - £400,,All,,Defined contribution,,100 to 499 employees
27.1,,2.5,Year,2016,K02000001,,,£300 - £400,,All,,Group personal pension,,100 to 499 employees
0.9,,16.0,Year,2016,K02000001,,,£300 - £400,,All,,Group self-invested personal pension,,100 to 499 employees
5.9,,6.0,Year,2016,K02000001,,,£300 - £400,,All,,Group stakeholder pension,,100 to 499 employees
2.3,,9.7,Year,2016,K02000001,,,£300 - £400,,All,,Unknown pension provision,,100 to 499 employees
23.7,,2.8,Year,2016,K02000001,,,£300 - £400,,All,,No pension provision,,100 to 499 employees
17.7,,3.7,Year,2016,K02000001,,,£400 - £500,,All,,Defined benefit,,100 to 499 employees
