V4_0,Time_codelist,Time,Geography_codelist,Geography,Housing_codelist,Housing
67500.0,Quarter,2015 Q2,J01000039,,,Flat/Maisonette
352000.0,Quarter,2015 Q2,J01000040,,,All properties
670000.0,Quarter,2015 Q2,J01000040,,,Detached
380000.0,Quarter,2015 Q2,J01000040,,,Semi Detached
325000.0,Quarter,2015 Q2,J01000040,,,Terraced
234000.0,Quarter,2015 Q2,J01000040,,,Flat/Maisonette
100000.0,Quarter,2015 Q2,J01000041,,,All properties
228000.0,Quarter,2015 Q2,J01000041,,,Detached
126750.0,Quarter,2015 Q2,J01000041,,,Semi Detached
82175.0,Quarter,2015 Q2,J01000041,,,Terraced
101500.0,Quarter,2015 Q2,J01000041,,,Flat/Maisonette
212500.0,Quarter,2015 Q2,J01000042,,,All properties
370000.0,Quarter,2015 Q2,J01000042,,,Detached
280000.0,Quarter,2015 Q2,J01000042,,,Semi Detached
212000.0,Quarter,2015 Q2,J01000042,,,Terraced
134000.0,Quarter,2015 Q2,J01000042,,,Flat/Maisonette
215000.0,Quarter,2015 Q2,J01000043,,,All properties
365000.0,Quarter,2015 Q2,J01000043,,,Detached
220000.0,Quarter,2015 Q2,J01000043,,,Semi Detached
185000.0,Quarter,2015 Q2,J01000043,,,Terraced
163000.0,Quarter,2015 Q2,J01000043,,,Flat/Maisonette
120000.0,Quarter,2015 Q2,J01000044,,,All properties
184950.0,Quarter,2015 Q2,J01000044,,,Detached
124950.0,Quarter,2015 Q2,J01000044,,,Semi Detached
71000.0,Quarter,2015 Q2,J01000044,,,Terraced
74499.0,Quarter,2015 Q2,J01000044,,,Flat/Maisonette
165000.0,Quarter,2015 Q2,J01000045,,,All properties
249950.0,Quarter,2015 Q2,J01000045,,,Detached
199350.0,Quarter,2015 Q2,J01000045,,,Semi Detached
160000.0,Quarter,2015 Q2,J01000045,,,Terraced
108000.0,Quarter,2015 Q2,J01000045,,,Flat/Maisonette
264000.0,Quarter,2015 Q2,J01000046,,,All properties
