V4_0,Time_codelist,Time,Geography_codelist,Geography,Housing_codelist,Housing
17.917369308600335,Quarter,2015 Q2,J01000034,,,Detached
16.947723440134908,Quarter,2015 Q2,J01000034,,,Semi Detached
26.180438448566612,Quarter,2015 Q2,J01000034,,,Terraced
38.954468802698145,Quarter,2015 Q2,J01000034,,,Flat/Maisonette
16.674698795180724,Quarter,2015 Q2,J01000035,,,Detached
20.57831325301205,Quarter,2015 Q2,J01000035,,,Semi Detached
41.87951807228916,Quarter,2015 Q2,J01000035,,,Terraced
20.867469879518072,Quarter,2015 Q2,J01000035,,,Flat/Maisonette
5.401563610518834,Quarter,2015 Q2,J01000036,,,Detached
35.891968727789624,Quarter,2015 Q2,J01000036,,,Semi Detached
29.28216062544421,Quarter,2015 Q2,J01000036,,,Terraced
29.42430703624733,Quarter,2015 Q2,J01000036,,,Flat/Maisonette
11.830488522660389,Quarter,2015 Q2,J01000037,,,Detached
18.304885226603883,Quarter,2015 Q2,J01000037,,,Semi Detached
52.266038846380226,Quarter,2015 Q2,J01000037,,,Terraced
17.598587404355502,Quarter,2015 Q2,J01000037,,,Flat/Maisonette
22.504604051565376,Quarter,2015 Q2,J01000038,,,Detached
33.18600368324125,Quarter,2015 Q2,J01000038,,,Semi Detached
31.30755064456722,Quarter,2015 Q2,J01000038,,,Terraced
13.00184162062615,Quarter,2015 Q2,J01000038,,,Flat/Maisonette
18.394950405770967,Quarter,2015 Q2,J01000039,,,Detached
35.07664562669071,Quarter,2015 Q2,J01000039,,,Semi Detached
41.47880973850316,Quarter,2015 Q2,J01000039,,,Terraced
5.049594229035167,Quarter,2015 Q2,J01000039,,,Flat/Maisonette
22.377622377622377,Quarter,2015 Q2,J01000040,,,Detached
27.583527583527584,Quarter,2015 Q2,J01000040,,,Semi Detached
18.25951825951826,Quarter,2015 Q2,J01000040,,,Terraced
31.77933177933178,Quarter,2015 Q2,J01000040,,,Flat/Maisonette
9.83739837398374,Quarter,2015 Q2,J01000041,,,Detached
24.715447154471544,Quarter,2015 Q2,J01000041,,,Semi Detached
57.39837398373984,Quarter,2015 Q2,J01000041,,,Terraced
8.048780487804878,Quarter,2015 Q2,J01000041,,,Flat/Maisonette
12.003058103975535,Quarter,2015 Q2,J01000042,,,Detached
12.46177370030581,Quarter,2015 Q2,J01000042,,,Semi Detached
50.99388379204893,Quarter,2015 Q2,J01000042,,,Terraced
24.541284403669724,Quarter,2015 Q2,J01000042,,,Flat/Maisonette
17.24137931034483,Quarter,2015 Q2,J01000043,,,Detached
28.36694860117111,Quarter,2015 Q2,J01000043,,,Semi Detached
28.952504879635654,Quarter,2015 Q2,J01000043,,,Terraced
25.439167208848406,Quarter,2015 Q2,J01000043,,,Flat/Maisonette
27.085285848172447,Quarter,2015 Q2,J01000044,,,Detached
35.33270852858482,Quarter,2015 Q2,J01000044,,,Semi Detached
33.0834114339269,Quarter,2015 Q2,J01000044,,,Terraced
4.498594189315839,Quarter,2015 Q2,J01000044,,,Flat/Maisonette
18.97381079636558,Quarter,2015 Q2,J01000045,,,Detached
18.706574024585784,Quarter,2015 Q2,J01000045,,,Semi Detached
28.594334580438268,Quarter,2015 Q2,J01000045,,,Terraced
33.72528059861037,Quarter,2015 Q2,J01000045,,,Flat/Maisonette
14.88747836122331,Quarter,2015 Q2,J01000046,,,Detached
18.52279284477784,Quarter,2015 Q2,J01000046,,,Semi Detached
34.96826312752452,Quarter,2015 Q2,J01000046,,,Terraced
31.621465666474325,Quarter,2015 Q2,J01000046,,,Flat/Maisonette
22.092343658679134,Quarter,2015 Q2,J01000047,,,Detached
26.125073056691996,Quarter,2015 Q2,J01000047,,,Semi Detached
20.514319111630623,Quarter,2015 Q2,J01000047,,,Terraced
31.268264172998244,Quarter,2015 Q2,J01000047,,,Flat/Maisonette
20.469483568075116,Quarter,2015 Q2,J01000048,,,Detached
30.422535211267604,Quarter,2015 Q2,J01000048,,,Semi Detached
42.53521126760563,Quarter,2015 Q2,J01000048,,,Terraced
6.572769953051644,Quarter,2015 Q2,J01000048,,,Flat/Maisonette
19.880800340570456,Quarter,2015 Q2,J01000049,,,Detached
34.05704555129843,Quarter,2015 Q2,J01000049,,,Semi Detached
32.14133673903789,Quarter,2015 Q2,J01000049,,,Terraced
13.92081736909323,Quarter,2015 Q2,J01000049,,,Flat/Maisonette
13.866368465194299,Quarter,2015 Q2,J01000050,,,Detached
28.487559407324575,Quarter,2015 Q2,J01000050,,,Semi Detached
50.65697511881465,Quarter,2015 Q2,J01000050,,,Terraced
6.98909700866648,Quarter,2015 Q2,J01000050,,,Flat/Maisonette
11.264916467780429,Quarter,2015 Q2,J01000051,,,Detached
37.565632458233885,Quarter,2015 Q2,J01000051,,,Semi Detached
30.310262529832936,Quarter,2015 Q2,J01000051,,,Terraced
20.859188544152747,Quarter,2015 Q2,J01000051,,,Flat/Maisonette
17.850510677808728,Quarter,2015 Q2,J01000052,,,Detached
34.052924791086355,Quarter,2015 Q2,J01000052,,,Semi Detached
37.97585886722377,Quarter,2015 Q2,J01000052,,,Terraced
10.12070566388115,Quarter,2015 Q2,J01000052,,,Flat/Maisonette
21.361889071938496,Quarter,2015 Q2,J01000053,,,Detached
28.885227896760025,Quarter,2015 Q2,J01000053,,,Semi Detached
40.30752333882482,Quarter,2015 Q2,J01000053,,,Terraced
9.44535969247666,Quarter,2015 Q2,J01000053,,,Flat/Maisonette
10.956690368455074,Quarter,2015 Q2,J01000054,,,Detached
29.573367808661928,Quarter,2015 Q2,J01000054,,,Semi Detached
41.12798965740142,Quarter,2015 Q2,J01000054,,,Terraced
18.341952165481576,Quarter,2015 Q2,J01000054,,,Flat/Maisonette
4.655592877191368,Quarter,2015 Q2,J01000055,,,Detached
13.344683200662589,Quarter,2015 Q2,J01000055,,,Semi Detached
26.751023788708416,Quarter,2015 Q2,J01000055,,,Terraced
55.24870013343764,Quarter,2015 Q2,J01000055,,,Flat/Maisonette
11.77117711771177,Quarter,2015 Q2,J01000056,,,Detached
39.67730106343968,Quarter,2015 Q2,J01000056,,,Semi Detached
33.810047671433814,Quarter,2015 Q2,J01000056,,,Terraced
14.74147414741474,Quarter,2015 Q2,J01000056,,,Flat/Maisonette
18.402961396086724,Quarter,2015 Q2,J01000057,,,Detached
29.772607086197777,Quarter,2015 Q2,J01000057,,,Semi Detached
32.09941829719725,Quarter,2015 Q2,J01000057,,,Terraced
19.725013220518246,Quarter,2015 Q2,J01000057,,,Flat/Maisonette
4.364550969078266,Quarter,2015 Q2,J01000058,,,Detached
27.06021600828525,Quarter,2015 Q2,J01000058,,,Semi Detached
32.93386595650244,Quarter,2015 Q2,J01000058,,,Terraced
35.641367066134045,Quarter,2015 Q2,J01000058,,,Flat/Maisonette
37.76758409785933,Quarter,2015 Q2,J01000059,,,Detached
36.46788990825688,Quarter,2015 Q2,J01000059,,,Semi Detached
20.33639143730887,Quarter,2015 Q2,J01000059,,,Terraced
5.428134556574923,Quarter,2015 Q2,J01000059,,,Flat/Maisonette
23.467862481315397,Quarter,2015 Q2,J01000060,,,Detached
42.75037369207772,Quarter,2015 Q2,J01000060,,,Semi Detached
29.09815645241654,Quarter,2015 Q2,J01000060,,,Terraced
4.683607374190333,Quarter,2015 Q2,J01000060,,,Flat/Maisonette
28.901303538175043,Quarter,2015 Q2,J01000061,,,Detached
21.601489757914337,Quarter,2015 Q2,J01000061,,,Semi Detached
28.975791433891995,Quarter,2015 Q2,J01000061,,,Terraced
20.521415270018622,Quarter,2015 Q2,J01000061,,,Flat/Maisonette
9.851190476190476,Quarter,2015 Q2,J01000062,,,Detached
27.886904761904763,Quarter,2015 Q2,J01000062,,,Semi Detached
31.25,Quarter,2015 Q2,J01000062,,,Terraced
31.011904761904763,Quarter,2015 Q2,J01000062,,,Flat/Maisonette
23.00177619893428,Quarter,2015 Q2,J01000063,,,Detached
41.651865008880996,Quarter,2015 Q2,J01000063,,,Semi Detached
28.863232682060392,Quarter,2015 Q2,J01000063,,,Terraced
6.483126110124333,Quarter,2015 Q2,J01000063,,,Flat/Maisonette
22.790697674418606,Quarter,2015 Q2,J01000064,,,Detached
30.116279069767444,Quarter,2015 Q2,J01000064,,,Semi Detached
37.2093023255814,Quarter,2015 Q2,J01000064,,,Terraced
9.883720930232558,Quarter,2015 Q2,J01000064,,,Flat/Maisonette
23.87906738406354,Quarter,2015 Q2,J01000065,,,Detached
24.775813476812708,Quarter,2015 Q2,J01000065,,,Semi Detached
40.430438124519604,Quarter,2015 Q2,J01000065,,,Terraced
10.91468101460415,Quarter,2015 Q2,J01000065,,,Flat/Maisonette
17.354060913705585,Quarter,2015 Q2,J01000066,,,Detached
22.874365482233504,Quarter,2015 Q2,J01000066,,,Semi Detached
36.960659898477154,Quarter,2015 Q2,J01000066,,,Terraced
22.810913705583758,Quarter,2015 Q2,J01000066,,,Flat/Maisonette
18.303174132304953,Quarter,2015 Q2,J01000067,,,Detached
28.537525956689407,Quarter,2015 Q2,J01000067,,,Semi Detached
36.161376446158414,Quarter,2015 Q2,J01000067,,,Terraced
16.997923464847226,Quarter,2015 Q2,J01000067,,,Flat/Maisonette
30.67758749069248,Quarter,2015 Q2,J01000068,,,Detached
31.571109456440805,Quarter,2015 Q2,J01000068,,,Semi Detached
32.09233060312733,Quarter,2015 Q2,J01000068,,,Terraced
5.658972449739389,Quarter,2015 Q2,J01000068,,,Flat/Maisonette
9.533468559837727,Quarter,2015 Q2,J01000069,,,Detached
30.831643002028397,Quarter,2015 Q2,J01000069,,,Semi Detached
58.113590263691684,Quarter,2015 Q2,J01000069,,,Terraced
1.5212981744421907,Quarter,2015 Q2,J01000069,,,Flat/Maisonette
11.424100156494523,Quarter,2015 Q2,J01000070,,,Detached
25.925925925925924,Quarter,2015 Q2,J01000070,,,Semi Detached
35.52425665101722,Quarter,2015 Q2,J01000070,,,Terraced
27.125717266562337,Quarter,2015 Q2,J01000070,,,Flat/Maisonette
30.427698574338084,Quarter,2015 Q2,J01000071,,,Detached
27.983706720977597,Quarter,2015 Q2,J01000071,,,Semi Detached
32.74949083503055,Quarter,2015 Q2,J01000071,,,Terraced
8.839103869653767,Quarter,2015 Q2,J01000071,,,Flat/Maisonette
13.050686878256752,Quarter,2015 Q2,J01000072,,,Detached
25.39081004263382,Quarter,2015 Q2,J01000072,,,Semi Detached
42.396968261487444,Quarter,2015 Q2,J01000072,,,Terraced
19.16153481762198,Quarter,2015 Q2,J01000072,,,Flat/Maisonette
38.076285240464344,Quarter,2015 Q2,J01000073,,,Detached
16.318407960199004,Quarter,2015 Q2,J01000073,,,Semi Detached
15.356550580431177,Quarter,2015 Q2,J01000073,,,Terraced
30.24875621890547,Quarter,2015 Q2,J01000073,,,Flat/Maisonette
4.367509986684421,Quarter,2015 Q2,J01000074,,,Detached
12.676431424766976,Quarter,2015 Q2,J01000074,,,Semi Detached
54.96671105193076,Quarter,2015 Q2,J01000074,,,Terraced
27.989347536617842,Quarter,2015 Q2,J01000074,,,Flat/Maisonette
17.068527918781726,Quarter,2015 Q2,J01000075,,,Detached
34.263959390862944,Quarter,2015 Q2,J01000075,,,Semi Detached
37.5,Quarter,2015 Q2,J01000075,,,Terraced
11.16751269035533,Quarter,2015 Q2,J01000075,,,Flat/Maisonette
17.576714801444044,Quarter,2015 Q2,J01000076,,,Detached
24.390794223826713,Quarter,2015 Q2,J01000076,,,Semi Detached
31.18231046931408,Quarter,2015 Q2,J01000076,,,Terraced
26.85018050541516,Quarter,2015 Q2,J01000076,,,Flat/Maisonette
30.080704328686718,Quarter,2015 Q2,J01000077,,,Detached
26.852531181217902,Quarter,2015 Q2,J01000077,,,Semi Detached
32.35509904622157,Quarter,2015 Q2,J01000077,,,Terraced
10.711665443873809,Quarter,2015 Q2,J01000077,,,Flat/Maisonette
28.21497120921305,Quarter,2015 Q2,J01000078,,,Detached
30.806142034548945,Quarter,2015 Q2,J01000078,,,Semi Detached
36.660268714011515,Quarter,2015 Q2,J01000078,,,Terraced
4.318618042226487,Quarter,2015 Q2,J01000078,,,Flat/Maisonette
25.58983666061706,Quarter,2015 Q2,J01000079,,,Detached
44.1016333938294,Quarter,2015 Q2,J01000079,,,Semi Detached
23.684210526315788,Quarter,2015 Q2,J01000079,,,Terraced
