V4_0,Time_codelist,Time,Geography_codelist,Geography,Gender_codelist,Gender,Life Measure_codelist,Life Measure
79.12037,Year,2013,E06000034,,,Male,,Life Expectancy
65.45901,Year,2013,E06000034,,,Male,,Healthy Life Expectancy
80.59993,Year,2013,E10000015,,,Male,,Life Expectancy
65.33799,Year,2013,E10000015,,,Male,,Healthy Life Expectancy
80.70145,Year,2013,E10000029,,,Male,,Life Expectancy
64.79073,Year,2013,E10000029,,,Male,,Healthy Life Expectancy
80.23447,Year,2013,E10000012,,,Male,,Life Expectancy
64.56263,Year,2013,E10000012,,,Male,,Healthy Life Expectancy
80.19108,Year,2013,E10000020,,,Male,,Life Expectancy
63.91437,Year,2013,E10000020,,,Male,,Healthy Life Expectancy
80.9798,Year,2013,E06000056,,,Male,,Life Expectancy
63.62415,Year,2013,E06000056,,,Male,,Healthy Life Expectancy
79.76455,Year,2013,E06000033,,,Male,,Life Expectancy
62.61598,Year,2013,E06000033,,,Male,,Healthy Life Expectancy
78.11903,Year,2013,E06000031,,,Male,,Life Expectancy
60.58495,Year,2013,E06000031,,,Male,,Healthy Life Expectancy
78.36138,Year,2013,E06000032,,,Male,,Life Expectancy
59.29988,Year,2013,E06000032,,,Male,,Healthy Life Expectancy
81.89083,Year,2013,E09000027,,,Male,,Life Expectancy
69.67324,Year,2013,E09000027,,,Male,,Healthy Life Expectancy
81.86927,Year,2013,E09000003,,,Male,,Life Expectancy
68.02786,Year,2013,E09000003,,,Male,,Healthy Life Expectancy
81.27676,Year,2013,E09000006,,,Male,,Life Expectancy
66.98731,Year,2013,E09000006,,,Male,,Healthy Life Expectancy
82.55027,Year,2013,E09000020,,,Male,,Life Expectancy
66.88268,Year,2013,E09000020,,,Male,,Healthy Life Expectancy
80.27496,Year,2013,E09000004,,,Male,,Life Expectancy
66.17458,Year,2013,E09000004,,,Male,,Healthy Life Expectancy
80.25773,Year,2013,E09000024,,,Male,,Life Expectancy
66.12128,Year,2013,E09000024,,,Male,,Healthy Life Expectancy
80.81103,Year,2013,E09000029,,,Male,,Life Expectancy
65.92021,Year,2013,E09000029,,,Male,,Healthy Life Expectancy
78.70431,Year,2013,E09000023,,,Male,,Life Expectancy
65.71073,Year,2013,E09000023,,,Male,,Healthy Life Expectancy
81.68995,Year,2013,E09000033,,,Male,,Life Expectancy
65.62328,Year,2013,E09000033,,,Male,,Healthy Life Expectancy
82.42896,Year,2013,E09000015,,,Male,,Life Expectancy
65.28677,Year,2013,E09000015,,,Male,,Healthy Life Expectancy
81.31094,Year,2013,E09000021,,,Male,,Life Expectancy
64.90458,Year,2013,E09000021,,,Male,,Healthy Life Expectancy
80.03543,Year,2013,E09000005,,,Male,,Life Expectancy
64.83545,Year,2013,E09000005,,,Male,,Healthy Life Expectancy
78.35153,Year,2013,E09000022,,,Male,,Life Expectancy
64.24071,Year,2013,E09000022,,,Male,,Healthy Life Expectancy
79.94466,Year,2013,E09000009,,,Male,,Life Expectancy
63.69523,Year,2013,E09000009,,,Male,,Healthy Life Expectancy
80.12474,Year,2013,E09000014,,,Male,,Life Expectancy
63.56381,Year,2013,E09000014,,,Male,,Healthy Life Expectancy
79.78396,Year,2013,E09000016,,,Male,,Life Expectancy
63.43786,Year,2013,E09000016,,,Male,,Healthy Life Expectancy
80.36456,Year,2013,E09000017,,,Male,,Life Expectancy
63.19285,Year,2013,E09000017,,,Male,,Healthy Life Expectancy
79.9807,Year,2013,E09000008,,,Male,,Life Expectancy
63.16332,Year,2013,E09000008,,,Male,,Healthy Life Expectancy
79.24392,Year,2013,E09000032,,,Male,,Life Expectancy
63.00563,Year,2013,E09000032,,,Male,,Healthy Life Expectancy
80.72152,Year,2013,E09000026,,,Male,,Life Expectancy
62.70675,Year,2013,E09000026,,,Male,,Healthy Life Expectancy
79.6833,Year,2013,E09000018,,,Male,,Life Expectancy
62.63349,Year,2013,E09000018,,,Male,,Healthy Life Expectancy
80.58746,Year,2013,E09000010,,,Male,,Life Expectancy
62.43852,Year,2013,E09000010,,,Male,,Healthy Life Expectancy
