V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Industry_codelist,Industry,Provision_codelist,Provision
,x,,Year,2016,K02000001,,,£500 - £600,,All,,"Agriculture, forestry and fishing ",,Unknown pension provision
56.5,,9.1,Year,2016,K02000001,,,£500 - £600,,All,,"Agriculture, forestry and fishing ",,No pension provision
,x,70.0,Year,2016,K02000001,,,£600 and over,,All,,"Agriculture, forestry and fishing ",,Defined benefit
21.2,,19.0,Year,2016,K02000001,,,£600 and over,,All,,"Agriculture, forestry and fishing ",,Defined contribution
25.7,,17.0,Year,2016,K02000001,,,£600 and over,,All,,"Agriculture, forestry and fishing ",,Group personal pension
,x,99.0,Year,2016,K02000001,,,£600 and over,,All,,"Agriculture, forestry and fishing ",,Group self-invested personal pension
,x,40.0,Year,2016,K02000001,,,£600 and over,,All,,"Agriculture, forestry and fishing ",,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,£600 and over,,All,,"Agriculture, forestry and fishing ",,Unknown pension provision
44.8,,11.0,Year,2016,K02000001,,,£600 and over,,All,,"Agriculture, forestry and fishing ",,No pension provision
10.6,,18.0,Year,2016,K02000001,,,Mining and quarrying,,All,,Mining and quarrying ,,Defined benefit
38.4,,7.6,Year,2016,K02000001,,,Mining and quarrying,,All,,Mining and quarrying ,,Defined contribution
22.1,,12.0,Year,2016,K02000001,,,Mining and quarrying,,All,,Mining and quarrying ,,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,Mining and quarrying,,All,,Mining and quarrying ,,Group self-invested personal pension
13.4,,15.0,Year,2016,K02000001,,,Mining and quarrying,,All,,Mining and quarrying ,,Group stakeholder pension
,x,57.0,Year,2016,K02000001,,,Mining and quarrying,,All,,Mining and quarrying ,,Unknown pension provision
14.6,,14.0,Year,2016,K02000001,,,Mining and quarrying,,All,,Mining and quarrying ,,No pension provision
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,Mining and quarrying ,,Defined benefit
,x,85.0,Year,2016,K02000001,,,Less than £100,,All,,Mining and quarrying ,,Defined contribution
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,Mining and quarrying ,,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,Mining and quarrying ,,Group self-invested personal pension
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,Mining and quarrying ,,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,Mining and quarrying ,,Unknown pension provision
,x,30.0,Year,2016,K02000001,,,Less than £100,,All,,Mining and quarrying ,,No pension provision
,x,81.0,Year,2016,K02000001,,,£100 - £200,,All,,Mining and quarrying ,,Defined benefit
0.0,,0.0,Year,2016,K02000001,,,£100 - £200,,All,,Mining and quarrying ,,Defined contribution
0.0,,0.0,Year,2016,K02000001,,,£100 - £200,,All,,Mining and quarrying ,,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£100 - £200,,All,,Mining and quarrying ,,Group self-invested personal pension
0.0,,0.0,Year,2016,K02000001,,,£100 - £200,,All,,Mining and quarrying ,,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,£100 - £200,,All,,Mining and quarrying ,,Unknown pension provision
,x,42.0,Year,2016,K02000001,,,£100 - £200,,All,,Mining and quarrying ,,No pension provision
0.0,,0.0,Year,2016,K02000001,,,£200 - £300,,All,,Mining and quarrying ,,Defined benefit
,x,65.0,Year,2016,K02000001,,,£200 - £300,,All,,Mining and quarrying ,,Defined contribution
,x,59.0,Year,2016,K02000001,,,£200 - £300,,All,,Mining and quarrying ,,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£200 - £300,,All,,Mining and quarrying ,,Group self-invested personal pension
