V4_0,Time_codelist,Time,Geography_codelist,Geography,Component_codelist,Component
0,Quarter,1974 Q1,K03000001,,GST,
0,Quarter,1974 Q2,K03000001,,GST,
0,Quarter,1974 Q3,K03000001,,GST,
0,Quarter,1974 Q4,K03000001,,GST,
0,Quarter,1975 Q1,K03000001,,GST,
0,Quarter,1975 Q2,K03000001,,GST,
0,Quarter,1975 Q3,K03000001,,GST,
0,Quarter,1975 Q4,K03000001,,GST,
0,Quarter,1976 Q1,K03000001,,GST,
0,Quarter,1976 Q2,K03000001,,GST,
0,Quarter,1976 Q3,K03000001,,GST,
0,Quarter,1976 Q4,K03000001,,GST,
0,Quarter,1977 Q1,K03000001,,GST,
0,Quarter,1977 Q2,K03000001,,GST,
0,Quarter,1977 Q3,K03000001,,GST,
0,Quarter,1977 Q4,K03000001,,GST,
0,Quarter,1978 Q1,K03000001,,GST,
0,Quarter,1978 Q2,K03000001,,GST,
0,Quarter,1978 Q3,K03000001,,GST,
0,Quarter,1978 Q4,K03000001,,GST,
0,Quarter,1979 Q1,K03000001,,GST,
0,Quarter,1979 Q2,K03000001,,GST,
0,Quarter,1979 Q3,K03000001,,GST,
0,Quarter,1979 Q4,K03000001,,GST,
0,Quarter,1980 Q1,K03000001,,GST,
0,Quarter,1980 Q2,K03000001,,GST,
0,Quarter,1980 Q3,K03000001,,GST,
0,Quarter,1980 Q4,K03000001,,GST,
0,Quarter,1981 Q1,K03000001,,GST,
0,Quarter,1981 Q2,K03000001,,GST,
0,Quarter,1981 Q3,K03000001,,GST,
0,Quarter,1981 Q4,K03000001,,GST,
0,Quarter,1982 Q1,K03000001,,GST,
0,Quarter,1982 Q2,K03000001,,GST,
0,Quarter,1982 Q3,K03000001,,GST,
0,Quarter,1982 Q4,K03000001,,GST,
8,Quarter,1983 Q1,K03000001,,GST,
16,Quarter,1983 Q2,K03000001,,GST,
122,Quarter,1983 Q3,K03000001,,GST,
176,Quarter,1983 Q4,K03000001,,GST,
194,Quarter,1984 Q1,K03000001,,GST,
190,Quarter,1984 Q2,K03000001,,GST,
191,Quarter,1984 Q3,K03000001,,GST,
199,Quarter,1984 Q4,K03000001,,GST,
208,Quarter,1985 Q1,K03000001,,GST,
190,Quarter,1985 Q2,K03000001,,GST,
205,Quarter,1985 Q3,K03000001,,GST,
208,Quarter,1985 Q4,K03000001,,GST,
209,Quarter,1986 Q1,K03000001,,GST,
238,Quarter,1986 Q2,K03000001,,GST,
262,Quarter,1986 Q3,K03000001,,GST,
271,Quarter,1986 Q4,K03000001,,GST,
271,Quarter,1987 Q1,K03000001,,GST,
320,Quarter,1987 Q2,K03000001,,GST,
363,Quarter,1987 Q3,K03000001,,GST,
362,Quarter,1987 Q4,K03000001,,GST,
357,Quarter,1988 Q1,K03000001,,GST,
349,Quarter,1988 Q2,K03000001,,GST,
351,Quarter,1988 Q3,K03000001,,GST,
405,Quarter,1988 Q4,K03000001,,GST,
460,Quarter,1989 Q1,K03000001,,GST,
466,Quarter,1989 Q2,K03000001,,GST,
453,Quarter,1989 Q3,K03000001,,GST,
448,Quarter,1989 Q4,K03000001,,GST,
429,Quarter,1990 Q1,K03000001,,GST,
438,Quarter,1990 Q2,K03000001,,GST,
415,Quarter,1990 Q3,K03000001,,GST,
406,Quarter,1990 Q4,K03000001,,GST,
399,Quarter,1991 Q1,K03000001,,GST,
368,Quarter,1991 Q2,K03000001,,GST,
340,Quarter,1991 Q3,K03000001,,GST,
343,Quarter,1991 Q4,K03000001,,GST,
356,Quarter,1992 Q1,K03000001,,GST,
340,Quarter,1992 Q2,K03000001,,GST,
318,Quarter,1992 Q3,K03000001,,GST,
344,Quarter,1992 Q4,K03000001,,GST,
348,Quarter,1993 Q1,K03000001,,GST,
326,Quarter,1993 Q2,K03000001,,GST,
307,Quarter,1993 Q3,K03000001,,GST,
317,Quarter,1993 Q4,K03000001,,GST,
317,Quarter,1994 Q1,K03000001,,GST,
316,Quarter,1994 Q2,K03000001,,GST,
289,Quarter,1994 Q3,K03000001,,GST,
285,Quarter,1994 Q4,K03000001,,GST,
265,Quarter,1995 Q1,K03000001,,GST,
239,Quarter,1995 Q2,K03000001,,GST,
221,Quarter,1995 Q3,K03000001,,GST,
217,Quarter,1995 Q4,K03000001,,GST,
214,Quarter,1996 Q1,K03000001,,GST,
182,Quarter,1996 Q2,K03000001,,GST,
188,Quarter,1996 Q3,K03000001,,GST,
189,Quarter,1996 Q4,K03000001,,GST,
174,Quarter,1997 Q1,K03000001,,GST,
160,Quarter,1997 Q2,K03000001,,GST,
170,Quarter,1997 Q3,K03000001,,GST,
162,Quarter,1997 Q4,K03000001,,GST,
153,Quarter,1998 Q1,K03000001,,GST,
122,Quarter,1998 Q2,K03000001,,GST,
131,Quarter,1998 Q3,K03000001,,GST,
126,Quarter,1998 Q4,K03000001,,GST,
124,Quarter,1999 Q1,K03000001,,GST,
123,Quarter,1999 Q2,K03000001,,GST,
131,Quarter,1999 Q3,K03000001,,GST,
128,Quarter,1999 Q4,K03000001,,GST,
122,Quarter,2000 Q1,K03000001,,GST,
113,Quarter,2000 Q2,K03000001,,GST,
121,Quarter,2000 Q3,K03000001,,GST,
117,Quarter,2000 Q4,K03000001,,GST,
110,Quarter,2001 Q1,K03000001,,GST,
94,Quarter,2001 Q2,K03000001,,GST,
89,Quarter,2001 Q3,K03000001,,GST,
90,Quarter,2001 Q4,K03000001,,GST,
87,Quarter,2002 Q1,K03000001,,GST,
85,Quarter,2002 Q2,K03000001,,GST,
71,Quarter,2002 Q3,K03000001,,GST,
72,Quarter,2002 Q4,K03000001,,GST,
73,Quarter,2003 Q1,K03000001,,GST,
69,Quarter,2003 Q2,K03000001,,GST,
78,Quarter,2003 Q3,K03000001,,GST,
79,Quarter,2003 Q4,K03000001,,GST,
77,Quarter,2004 Q1,K03000001,,GST,
71,Quarter,2004 Q2,K03000001,,GST,
71,Quarter,2004 Q3,K03000001,,GST,
72,Quarter,2004 Q4,K03000001,,GST,
71,Quarter,2005 Q1,K03000001,,GST,
66,Quarter,2005 Q2,K03000001,,GST,
69,Quarter,2005 Q3,K03000001,,GST,
68,Quarter,2005 Q4,K03000001,,GST,
63,Quarter,2006 Q1,K03000001,,GST,
60,Quarter,2006 Q2,K03000001,,GST,
68,Quarter,2006 Q3,K03000001,,GST,
76,Quarter,2006 Q4,K03000001,,GST,
72,Quarter,2007 Q1,K03000001,,GST,
81,Quarter,2007 Q2,K03000001,,GST,
74,Quarter,2007 Q3,K03000001,,GST,
75,Quarter,2007 Q4,K03000001,,GST,
80,Quarter,2008 Q1,K03000001,,GST,
74,Quarter,2008 Q2,K03000001,,GST,
66,Quarter,2008 Q3,K03000001,,GST,
69,Quarter,2008 Q4,K03000001,,GST,
77,Quarter,2009 Q1,K03000001,,GST,
75,Quarter,2009 Q2,K03000001,,GST,
67,Quarter,2009 Q3,K03000001,,GST,
80,Quarter,2009 Q4,K03000001,,GST,
87,Quarter,2010 Q1,K03000001,,GST,
90,Quarter,2010 Q2,K03000001,,GST,
80,Quarter,2010 Q3,K03000001,,GST,
