V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Total_codelist,Total,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Household Type_codelist,Household Type
0.632685041,0.044261419,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Attempted burglary in dwelling,,All households
0.875192182,0.053992057999999996,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Burglary in dwelling with entry,,All households
1.4928594869999998,0.068463545,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Burglary in dwelling,,All households
0.55046753,0.041016761,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Burglary in dwelling with loss,,All households
0.6388716210000001,0.04400376,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Burglary in building other than dwelling,,All households
0.128281891,0.019259354,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Attempted burglary in building other than dwelling,,All households
0.518527142,0.039635916,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Burglary in building other than dwelling with entry,,All households
1.052870389,0.057226743,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Arson and other criminal damage,,All households
2.475649068,0.088017564,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Criminal damage to a vehicle,,All households
3.192697924,0.112991884,28216,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Criminal damage to a vehicle,,Vehicle-owning households
1.99235281,0.080861574,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Other household theft,,All households
2.0813923780000003,0.079784997,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Theft from a motor vehicle,,All households
2.6885225160000004,0.102841825,28216,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Theft from a motor vehicle,,Vehicle-owning households
0.225784431,0.026581832000000003,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Theft of a motor vehicle,,All households
0.29216964300000003,0.034393514,28216,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Theft of a motor vehicle,,Vehicle-owning households
0.223039304,0.02871449,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Theft from a dwelling and meter,,All households
7.49068009,0.153945251,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,All household theft,,All households
1.773321741,0.074999556,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Theft from outside dwelling,,All households
10.37379014,0.18487036,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,All household crime,,All households
3.460616351,0.105650616,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Criminal damage,,All households
