V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,HRP Age_codelist,HRP Age,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
0.616296933,0.115640765,5193,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
0.5200107079999999,0.12544782,4641,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
0.134123421,0.069768834,2906,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
2.237315802,0.519709859,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Bicycle theft,, ,, 
1.9123284440000001,0.21695009199999998,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Bicycle theft,, ,, 
1.54973555,0.15924995,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Bicycle theft,, ,, 
1.385933558,0.141953819,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Bicycle theft,, ,, 
0.731634461,0.113438107,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Bicycle theft,, ,, 
0.257768653,0.067047207,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Bicycle theft,, ,, 
0.123386947,0.050766384000000005,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Bicycle theft,, ,, 
4.878288455,1.190169096,363,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Bicycle theft,, ,, 
3.3814672960000003,0.400783823,2509,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Bicycle theft,, ,, 
2.18939481,0.23169267699999999,4061,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Bicycle theft,, ,, 
2.088371692,0.222675533,4510,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Bicycle theft,, ,, 
1.5516081590000002,0.244082398,2895,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Bicycle theft,, ,, 
0.661904188,0.191440595,1847,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Bicycle theft,, ,, 
0.818746816,0.36903507799999996,639,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Bicycle theft,, ,, 
0.0,0.0,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Burglary in building other than dwelling with entry and no loss,, ,, 
0.10402344300000001,0.079257442,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Burglary in building other than dwelling with entry and no loss,, ,, 
0.203869303,0.063474985,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Burglary in building other than dwelling with entry and no loss,, ,, 
0.18199255,0.054051830999999995,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Burglary in building other than dwelling with entry and no loss,, ,, 
0.224565056,0.065428847,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Burglary in building other than dwelling with entry and no loss,, ,, 
0.104326349,0.046910352999999995,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Burglary in building other than dwelling with entry and no loss,, ,, 
0.076133958,0.03973972,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Burglary in building other than dwelling with entry and no loss,, ,, 
0.242144407,0.147828924,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Burglary in building other than dwelling with entry and loss,, ,, 
0.30396033899999997,0.081253831,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Burglary in building other than dwelling with entry and loss,, ,, 
0.402389616,0.080547174,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Burglary in building other than dwelling with entry and loss,, ,, 
0.48151606799999996,0.08064033400000001,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Burglary in building other than dwelling with entry and loss,, ,, 
0.397745901,0.08396517099999999,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Burglary in building other than dwelling with entry and loss,, ,, 
0.405396527,0.086991894,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Burglary in building other than dwelling with entry and loss,, ,, 
0.21613178100000002,0.070543775,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Burglary in building other than dwelling with entry and loss,, ,, 
0.975982598,0.379724694,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Burglary in dwelling with no loss,, ,, 
0.42586719799999995,0.09723054099999999,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Burglary in dwelling with no loss,, ,, 
