V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Accommodation type_codelist,Accommodation type,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Household Type_codelist,HouseholdType
6.789986561,0.992026502,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Burglary in dwelling with entry,,All households
15.68523784,2.9350579789999998,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Burglary in dwelling with entry,,All households
10.29755771,0.797300617,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Burglary in dwelling with entry,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Burglary in dwelling with entry,,All households
9.346728994,1.198823357,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Burglary in dwelling with entry,,All households
13.94656442,1.696436482,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Burglary in dwelling with entry,,All households
11.55406348,1.353309342,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Burglary in dwelling,,All households
26.47217955,3.486744944,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Burglary in dwelling,,All households
17.34663494,1.028251612,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Burglary in dwelling,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Burglary in dwelling,,All households
16.10475057,1.6374756540000002,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Burglary in dwelling,,All households
23.03929113,2.0991360180000003,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Burglary in dwelling,,All households
5.201240026000001,0.84542251,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Burglary in dwelling with loss,,All households
9.378767037000001,2.301680045,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Burglary in dwelling with loss,,All households
6.133514172000001,0.5416062229999999,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Burglary in dwelling with loss,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Burglary in dwelling with loss,,All households
5.156889531,0.7490954479999999,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Burglary in dwelling with loss,,All households
7.838592345,1.1312226,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Burglary in dwelling with loss,,All households
8.563777104,1.25639885,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Burglary in building other than dwelling,,All households
3.7012820260000003,1.016759814,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Burglary in building other than dwelling,,All households
8.450334566,0.6604310489999999,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Burglary in building other than dwelling,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Burglary in building other than dwelling,,All households
7.9284238789999995,0.957665859,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Burglary in building other than dwelling,,All households
8.893612747999999,1.228740872,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Burglary in building other than dwelling,,All households
1.33586943,0.48052576700000005,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Attempted burglary in building other than dwelling,,All households
0.691033485,0.349668989,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Attempted burglary in building other than dwelling,,All households
1.573258623,0.260807078,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Attempted burglary in building other than dwelling,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Attempted burglary in building other than dwelling,,All households
1.983365874,0.46706437799999995,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Attempted burglary in building other than dwelling,,All households
1.338350629,0.408599455,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Attempted burglary in building other than dwelling,,All households
7.227907674,1.126606888,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Burglary in building other than dwelling with entry,,All households
3.010248541,0.9558680409999999,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Burglary in building other than dwelling with entry,,All households
6.8770759429999995,0.59407345,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Burglary in building other than dwelling with entry,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Burglary in building other than dwelling with entry,,All households
5.945058005,0.8157685509999999,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Burglary in building other than dwelling with entry,,All households
7.555262119,1.147548015,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Burglary in building other than dwelling with entry,,All households
14.4789051,2.4170564580000002,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Arson and other criminal damage,,All households
15.92990165,2.676100337,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Arson and other criminal damage,,All households
