V4_0,Time_codelist,Time,Geography_codelist,Geography,Costs_codelist,Costs,Growth Period_codelist,Growth Period,SA / NSA_codelist,SA / NSA,SIC_codelist,SIC
4.6,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_N Administrative and Support Service Activities
3.7,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
3.1,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
8.4,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
4.0,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
2.6,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_P Education
2.2,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_P Education
5.3,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_P Education
2.0,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_P Education
5.6,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
3.9,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
13.4,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
6.2,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
-6.5,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
-8.8,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
0.6,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
-8.9,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
4.6,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
3.2,Quarter,2001 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
12.2,Quarter,2001 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
3.8,Quarter,2001 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
9.8,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
11.8,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
-5.4,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
9.8,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
4.1,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
4.2,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
3.6,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
1.4,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
8.2,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
7.7,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
11.6,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
8.6,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
-4.6,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
-3.9,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
-7.7,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
-3.4,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
3.3,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
1.7,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
13.0,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
5.1,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
-3.3,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
-3.8,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
0.3,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
0.3,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
6.4,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
6.2,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
7.4,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
6.8,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
4.1,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
4.4,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
1.6,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
3.3,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
6.1,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
5.1,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
12.9,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
5.1,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
8.4,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_F Construction
8.7,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_F Construction
6.4,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_F Construction
7.7,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_F Construction
8.0,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
7.6,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
10.6,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
4.9,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
2.9,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
3.3,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
