V4_0,Time_codelist,Time,Geography_codelist,Geography,Costs_codelist,Costs,SA / NSA_codelist,SA / NSA,SIC_codelist,SIC
100.1,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
98.3,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
100.3,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_P Education
98.3,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
99.0,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
98.0,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
97.8,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_Q Health and Social Work
101.7,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
103.1,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
103.7,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
104.0,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
96.2,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
97.0,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
93.8,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
96.0,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_S Other Service Activities
105.3,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
104.9,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
103.9,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
105.1,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
97.7,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_B Mining and Quarrying
