V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Occupation_codelist,Occupation,Provision_codelist,Provision
,x,41.0,Year,2016,K02000001,,,Less than £100,,All,,Professional occupations,,Group personal pension
,-,0.0,Year,2016,K02000001,,,Less than £100,,All,,Professional occupations,,Group self-invested personal pension
,x,41.0,Year,2016,K02000001,,,Less than £100,,All,,Professional occupations,,Group stakeholder pension
,x,50.0,Year,2016,K02000001,,,Less than £100,,All,,Professional occupations,,Unknown pension provision
63.0,,5.6,Year,2016,K02000001,,,Less than £100,,All,,Professional occupations,,No pension provision
72.0,,4.9,Year,2016,K02000001,,,£100 - £200,,All,,Professional occupations,,Defined benefit
15.0,,11.0,Year,2016,K02000001,,,£100 - £200,,All,,Professional occupations,,Defined contribution
9.0,,14.0,Year,2016,K02000001,,,£100 - £200,,All,,Professional occupations,,Group personal pension
,x,38.0,Year,2016,K02000001,,,£100 - £200,,All,,Professional occupations,,Group self-invested personal pension
,x,25.0,Year,2016,K02000001,,,£100 - £200,,All,,Professional occupations,,Group stakeholder pension
,x,30.0,Year,2016,K02000001,,,£100 - £200,,All,,Professional occupations,,Unknown pension provision
95.0,,4.5,Year,2016,K02000001,,,£100 - £200,,All,,Professional occupations,,No pension provision
114.0,,3.8,Year,2016,K02000001,,,£200 - £300,,All,,Professional occupations,,Defined benefit
24.0,,8.8,Year,2016,K02000001,,,£200 - £300,,All,,Professional occupations,,Defined contribution
15.0,,12.0,Year,2016,K02000001,,,£200 - £300,,All,,Professional occupations,,Group personal pension
,x,50.0,Year,2016,K02000001,,,£200 - £300,,All,,Professional occupations,,Group self-invested personal pension
,x,23.0,Year,2016,K02000001,,,£200 - £300,,All,,Professional occupations,,Group stakeholder pension
,x,24.0,Year,2016,K02000001,,,£200 - £300,,All,,Professional occupations,,Unknown pension provision
92.0,,4.6,Year,2016,K02000001,,,£200 - £300,,All,,Professional occupations,,No pension provision
209.0,,2.8,Year,2016,K02000001,,,£300 - £400,,All,,Professional occupations,,Defined benefit
39.0,,7.0,Year,2016,K02000001,,,£300 - £400,,All,,Professional occupations,,Defined contribution
37.0,,7.2,Year,2016,K02000001,,,£300 - £400,,All,,Professional occupations,,Group personal pension
,x,58.0,Year,2016,K02000001,,,£300 - £400,,All,,Professional occupations,,Group self-invested personal pension
9.0,,15.0,Year,2016,K02000001,,,£300 - £400,,All,,Professional occupations,,Group stakeholder pension
5.0,,19.0,Year,2016,K02000001,,,£300 - £400,,All,,Professional occupations,,Unknown pension provision
108.0,,4.3,Year,2016,K02000001,,,£300 - £400,,All,,Professional occupations,,No pension provision
384.0,,2.0,Year,2016,K02000001,,,£400 - £500,,All,,Professional occupations,,Defined benefit
66.0,,5.4,Year,2016,K02000001,,,£400 - £500,,All,,Professional occupations,,Defined contribution
72.0,,5.2,Year,2016,K02000001,,,£400 - £500,,All,,Professional occupations,,Group personal pension
,x,27.0,Year,2016,K02000001,,,£400 - £500,,All,,Professional occupations,,Group self-invested personal pension
18.0,,10.0,Year,2016,K02000001,,,£400 - £500,,All,,Professional occupations,,Group stakeholder pension
9.0,,15.0,Year,2016,K02000001,,,£400 - £500,,All,,Professional occupations,,Unknown pension provision
119.0,,4.0,Year,2016,K02000001,,,£400 - £500,,All,,Professional occupations,,No pension provision
439.0,,1.9,Year,2016,K02000001,,,£500 - £600,,All,,Professional occupations,,Defined benefit
78.0,,4.9,Year,2016,K02000001,,,£500 - £600,,All,,Professional occupations,,Defined contribution
91.0,,4.6,Year,2016,K02000001,,,£500 - £600,,All,,Professional occupations,,Group personal pension
,x,22.0,Year,2016,K02000001,,,£500 - £600,,All,,Professional occupations,,Group self-invested personal pension
23.0,,9.1,Year,2016,K02000001,,,£500 - £600,,All,,Professional occupations,,Group stakeholder pension
8.0,,16.0,Year,2016,K02000001,,,£500 - £600,,All,,Professional occupations,,Unknown pension provision
111.0,,4.2,Year,2016,K02000001,,,£500 - £600,,All,,Professional occupations,,No pension provision
1860.0,,0.8,Year,2016,K02000001,,,£600 and over,,All,,Professional occupations,,Defined benefit
439.0,,2.0,Year,2016,K02000001,,,£600 and over,,All,,Professional occupations,,Defined contribution
529.0,,1.8,Year,2016,K02000001,,,£600 and over,,All,,Professional occupations,,Group personal pension
23.0,,9.6,Year,2016,K02000001,,,£600 and over,,All,,Professional occupations,,Group self-invested personal pension
123.0,,4.0,Year,2016,K02000001,,,£600 and over,,All,,Professional occupations,,Group stakeholder pension
35.0,,7.5,Year,2016,K02000001,,,£600 and over,,All,,Professional occupations,,Unknown pension provision
356.0,,2.3,Year,2016,K02000001,,,£600 and over,,All,,Professional occupations,,No pension provision
1230.0,,1.0,Year,2016,K02000001,,,Associate professional and technical occupations,,All,,Associate professional and technical occupations,,Defined benefit
696.0,,1.5,Year,2016,K02000001,,,Associate professional and technical occupations,,All,,Associate professional and technical occupations,,Defined contribution
736.0,,1.4,Year,2016,K02000001,,,Associate professional and technical occupations,,All,,Associate professional and technical occupations,,Group personal pension
33.0,,7.4,Year,2016,K02000001,,,Associate professional and technical occupations,,All,,Associate professional and technical occupations,,Group self-invested personal pension
200.0,,2.9,Year,2016,K02000001,,,Associate professional and technical occupations,,All,,Associate professional and technical occupations,,Group stakeholder pension
48.0,,6.1,Year,2016,K02000001,,,Associate professional and technical occupations,,All,,Associate professional and technical occupations,,Unknown pension provision
838.0,,1.3,Year,2016,K02000001,,,Associate professional and technical occupations,,All,,Associate professional and technical occupations,,No pension provision
7.0,,15.0,Year,2016,K02000001,,,Less than £100,,All,,Associate professional and technical occupations,,Defined benefit
,x,25.0,Year,2016,K02000001,,,Less than £100,,All,,Associate professional and technical occupations,,Defined contribution
,x,30.0,Year,2016,K02000001,,,Less than £100,,All,,Associate professional and technical occupations,,Group personal pension
,-,0.0,Year,2016,K02000001,,,Less than £100,,All,,Associate professional and technical occupations,,Group self-invested personal pension
,x,38.0,Year,2016,K02000001,,,Less than £100,,All,,Associate professional and technical occupations,,Group stakeholder pension
,-,0.0,Year,2016,K02000001,,,Less than £100,,All,,Associate professional and technical occupations,,Unknown pension provision
76.0,,5.2,Year,2016,K02000001,,,Less than £100,,All,,Associate professional and technical occupations,,No pension provision
31.0,,7.5,Year,2016,K02000001,,,£100 - £200,,All,,Associate professional and technical occupations,,Defined benefit
14.0,,12.0,Year,2016,K02000001,,,£100 - £200,,All,,Associate professional and technical occupations,,Defined contribution
13.0,,12.0,Year,2016,K02000001,,,£100 - £200,,All,,Associate professional and technical occupations,,Group personal pension
,x,,Year,2016,K02000001,,,£100 - £200,,All,,Associate professional and technical occupations,,Group self-invested personal pension
6.0,,17.0,Year,2016,K02000001,,,£100 - £200,,All,,Associate professional and technical occupations,,Group stakeholder pension
,x,45.0,Year,2016,K02000001,,,£100 - £200,,All,,Associate professional and technical occupations,,Unknown pension provision
82.0,,4.9,Year,2016,K02000001,,,£100 - £200,,All,,Associate professional and technical occupations,,No pension provision
61.0,,5.3,Year,2016,K02000001,,,£200 - £300,,All,,Associate professional and technical occupations,,Defined benefit
33.0,,7.5,Year,2016,K02000001,,,£200 - £300,,All,,Associate professional and technical occupations,,Defined contribution
33.0,,7.6,Year,2016,K02000001,,,£200 - £300,,All,,Associate professional and technical occupations,,Group personal pension
,x,45.0,Year,2016,K02000001,,,£200 - £300,,All,,Associate professional and technical occupations,,Group self-invested personal pension
10.0,,14.0,Year,2016,K02000001,,,£200 - £300,,All,,Associate professional and technical occupations,,Group stakeholder pension
,x,35.0,Year,2016,K02000001,,,£200 - £300,,All,,Associate professional and technical occupations,,Unknown pension provision
86.0,,4.8,Year,2016,K02000001,,,£200 - £300,,All,,Associate professional and technical occupations,,No pension provision
137.0,,3.5,Year,2016,K02000001,,,£300 - £400,,All,,Associate professional and technical occupations,,Defined benefit
85.0,,4.7,Year,2016,K02000001,,,£300 - £400,,All,,Associate professional and technical occupations,,Defined contribution
81.0,,4.7,Year,2016,K02000001,,,£300 - £400,,All,,Associate professional and technical occupations,,Group personal pension
,x,27.0,Year,2016,K02000001,,,£300 - £400,,All,,Associate professional and technical occupations,,Group self-invested personal pension
24.0,,8.8,Year,2016,K02000001,,,£300 - £400,,All,,Associate professional and technical occupations,,Group stakeholder pension
4.0,,20.0,Year,2016,K02000001,,,£300 - £400,,All,,Associate professional and technical occupations,,Unknown pension provision
128.0,,3.9,Year,2016,K02000001,,,£300 - £400,,All,,Associate professional and technical occupations,,No pension provision
194.0,,2.9,Year,2016,K02000001,,,£400 - £500,,All,,Associate professional and technical occupations,,Defined benefit
126.0,,3.7,Year,2016,K02000001,,,£400 - £500,,All,,Associate professional and technical occupations,,Defined contribution
135.0,,3.6,Year,2016,K02000001,,,£400 - £500,,All,,Associate professional and technical occupations,,Group personal pension
5.0,,20.0,Year,2016,K02000001,,,£400 - £500,,All,,Associate professional and technical occupations,,Group self-invested personal pension
38.0,,6.9,Year,2016,K02000001,,,£400 - £500,,All,,Associate professional and technical occupations,,Group stakeholder pension
10.0,,13.0,Year,2016,K02000001,,,£400 - £500,,All,,Associate professional and technical occupations,,Unknown pension provision
156.0,,3.4,Year,2016,K02000001,,,£400 - £500,,All,,Associate professional and technical occupations,,No pension provision
209.0,,2.8,Year,2016,K02000001,,,£500 - £600,,All,,Associate professional and technical occupations,,Defined benefit
120.0,,3.8,Year,2016,K02000001,,,£500 - £600,,All,,Associate professional and technical occupations,,Defined contribution
128.0,,3.7,Year,2016,K02000001,,,£500 - £600,,All,,Associate professional and technical occupations,,Group personal pension
5.0,,19.0,Year,2016,K02000001,,,£500 - £600,,All,,Associate professional and technical occupations,,Group self-invested personal pension
33.0,,7.4,Year,2016,K02000001,,,£500 - £600,,All,,Associate professional and technical occupations,,Group stakeholder pension
9.0,,14.0,Year,2016,K02000001,,,£500 - £600,,All,,Associate professional and technical occupations,,Unknown pension provision
106.0,,4.1,Year,2016,K02000001,,,£500 - £600,,All,,Associate professional and technical occupations,,No pension provision
590.0,,1.6,Year,2016,K02000001,,,£600 and over,,All,,Associate professional and technical occupations,,Defined benefit
315.0,,2.3,Year,2016,K02000001,,,£600 and over,,All,,Associate professional and technical occupations,,Defined contribution
342.0,,2.2,Year,2016,K02000001,,,£600 and over,,All,,Associate professional and technical occupations,,Group personal pension
19.0,,9.6,Year,2016,K02000001,,,£600 and over,,All,,Associate professional and technical occupations,,Group self-invested personal pension
88.0,,4.5,Year,2016,K02000001,,,£600 and over,,All,,Associate professional and technical occupations,,Group stakeholder pension
21.0,,9.2,Year,2016,K02000001,,,£600 and over,,All,,Associate professional and technical occupations,,Unknown pension provision
203.0,,2.9,Year,2016,K02000001,,,£600 and over,,All,,Associate professional and technical occupations,,No pension provision
985.0,,0.9,Year,2016,K02000001,,,Administrative and secretarial occupations,,All,,Administrative and secretarial occupations,,Defined benefit
491.0,,1.4,Year,2016,K02000001,,,Administrative and secretarial occupations,,All,,Administrative and secretarial occupations,,Defined contribution
455.0,,1.5,Year,2016,K02000001,,,Administrative and secretarial occupations,,All,,Administrative and secretarial occupations,,Group personal pension
17.0,,8.4,Year,2016,K02000001,,,Administrative and secretarial occupations,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
124.0,,3.1,Year,2016,K02000001,,,Administrative and secretarial occupations,,All,,Administrative and secretarial occupations,,Group stakeholder pension
37.0,,5.8,Year,2016,K02000001,,,Administrative and secretarial occupations,,All,,Administrative and secretarial occupations,,Unknown pension provision
1039.0,,0.9,Year,2016,K02000001,,,Administrative and secretarial occupations,,All,,Administrative and secretarial occupations,,No pension provision
15.0,,8.7,Year,2016,K02000001,,,Less than £100,,All,,Administrative and secretarial occupations,,Defined benefit
8.0,,12.0,Year,2016,K02000001,,,Less than £100,,All,,Administrative and secretarial occupations,,Defined contribution
4.0,,18.0,Year,2016,K02000001,,,Less than £100,,All,,Administrative and secretarial occupations,,Group personal pension
,x,71.0,Year,2016,K02000001,,,Less than £100,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
,x,33.0,Year,2016,K02000001,,,Less than £100,,All,,Administrative and secretarial occupations,,Group stakeholder pension
,x,50.0,Year,2016,K02000001,,,Less than £100,,All,,Administrative and secretarial occupations,,Unknown pension provision
147.0,,2.8,Year,2016,K02000001,,,Less than £100,,All,,Administrative and secretarial occupations,,No pension provision
108.0,,3.3,Year,2016,K02000001,,,£100 - £200,,All,,Administrative and secretarial occupations,,Defined benefit
41.0,,5.4,Year,2016,K02000001,,,£100 - £200,,All,,Administrative and secretarial occupations,,Defined contribution
29.0,,6.5,Year,2016,K02000001,,,£100 - £200,,All,,Administrative and secretarial occupations,,Group personal pension
,x,28.0,Year,2016,K02000001,,,£100 - £200,,All,,Administrative and secretarial occupations,,Group self-invested personal pension
9.0,,11.0,Year,2016,K02000001,,,£100 - £200,,All,,Administrative and secretarial occupations,,Group stakeholder pension
,x,23.0,Year,2016,K02000001,,,£100 - £200,,All,,Administrative and secretarial occupations,,Unknown pension provision
283.0,,2.0,Year,2016,K02000001,,,£100 - £200,,All,,Administrative and secretarial occupations,,No pension provision
