V4_0,Time_codelist,Time,Geography_codelist,Geography,Age Group_codelist,Age Group,Health or Disability Impact_codelist,Health or Disability Impact
7.793373548693891,Deccenial,2011,J01000050,,,16-64,,limited a little
85.3274488536485,Deccenial,2011,J01000050,,,16-64,,not limited
5.9094711167016785,Deccenial,2011,J01000051,,,16-64,,limited a lot
7.081787591068429,Deccenial,2011,J01000051,,,16-64,,limited a little
87.0087412922299,Deccenial,2011,J01000051,,,16-64,,not limited
5.983457337343675,Deccenial,2011,J01000052,,,16-64,,limited a lot
7.723207218616432,Deccenial,2011,J01000052,,,16-64,,limited a little
86.29333544403988,Deccenial,2011,J01000052,,,16-64,,not limited
5.875534531100703,Deccenial,2011,J01000053,,,16-64,,limited a lot
7.929073792703749,Deccenial,2011,J01000053,,,16-64,,limited a little
86.19539167619554,Deccenial,2011,J01000053,,,16-64,,not limited
9.901670340059031,Deccenial,2011,J01000054,,,16-64,,limited a lot
8.326691913223664,Deccenial,2011,J01000054,,,16-64,,limited a little
81.7716377467173,Deccenial,2011,J01000054,,,16-64,,not limited
4.785409647262732,Deccenial,2011,J01000055,,,16-64,,limited a lot
6.0665670607354105,Deccenial,2011,J01000055,,,16-64,,limited a little
89.14802329200185,Deccenial,2011,J01000055,,,16-64,,not limited
4.879992396715966,Deccenial,2011,J01000056,,,16-64,,limited a lot
6.921912810802512,Deccenial,2011,J01000056,,,16-64,,limited a little
88.19809479248151,Deccenial,2011,J01000056,,,16-64,,not limited
4.2825042957219015,Deccenial,2011,J01000057,,,16-64,,limited a lot
6.4795641127314925,Deccenial,2011,J01000057,,,16-64,,limited a little
89.2379315915466,Deccenial,2011,J01000057,,,16-64,,not limited
7.346122587397459,Deccenial,2011,J01000058,,,16-64,,limited a lot
7.523577872758421,Deccenial,2011,J01000058,,,16-64,,limited a little
85.13029953984412,Deccenial,2011,J01000058,,,16-64,,not limited
8.170143181908825,Deccenial,2011,J01000059,,,16-64,,limited a lot
9.35269014477725,Deccenial,2011,J01000059,,,16-64,,limited a little
82.47716667331393,Deccenial,2011,J01000059,,,16-64,,not limited
8.523530418028432,Deccenial,2011,J01000060,,,16-64,,limited a lot
8.370472409043026,Deccenial,2011,J01000060,,,16-64,,limited a little
83.10599717292854,Deccenial,2011,J01000060,,,16-64,,not limited
4.541532195433443,Deccenial,2011,J01000061,,,16-64,,limited a lot
6.229397856514161,Deccenial,2011,J01000061,,,16-64,,limited a little
89.2290699480524,Deccenial,2011,J01000061,,,16-64,,not limited
6.687944372400841,Deccenial,2011,J01000062,,,16-64,,limited a lot
7.262554219022492,Deccenial,2011,J01000062,,,16-64,,limited a little
86.04950140857667,Deccenial,2011,J01000062,,,16-64,,not limited
6.852765461395949,Deccenial,2011,J01000063,,,16-64,,limited a lot
8.461874726784488,Deccenial,2011,J01000063,,,16-64,,limited a little
84.68535981181957,Deccenial,2011,J01000063,,,16-64,,not limited
7.849591930535024,Deccenial,2011,J01000064,,,16-64,,limited a lot
8.127849343486417,Deccenial,2011,J01000064,,,16-64,,limited a little
84.02255872597856,Deccenial,2011,J01000064,,,16-64,,not limited
4.7035917039910995,Deccenial,2011,J01000065,,,16-64,,limited a lot
6.84392206087924,Deccenial,2011,J01000065,,,16-64,,limited a little
88.45248623512965,Deccenial,2011,J01000065,,,16-64,,not limited
5.58323697979487,Deccenial,2011,J01000066,,,16-64,,limited a lot
7.697746574943644,Deccenial,2011,J01000066,,,16-64,,limited a little
86.71901644526149,Deccenial,2011,J01000066,,,16-64,,not limited
6.762021108705113,Deccenial,2011,J01000067,,,16-64,,limited a lot
7.794911050873762,Deccenial,2011,J01000067,,,16-64,,limited a little
85.44306784042112,Deccenial,2011,J01000067,,,16-64,,not limited
6.010031594166682,Deccenial,2011,J01000068,,,16-64,,limited a lot
7.730753440551203,Deccenial,2011,J01000068,,,16-64,,limited a little
86.25921496528211,Deccenial,2011,J01000068,,,16-64,,not limited
9.026792116006495,Deccenial,2011,J01000069,,,16-64,,limited a lot
9.256522438945874,Deccenial,2011,J01000069,,,16-64,,limited a little
81.71668544504763,Deccenial,2011,J01000069,,,16-64,,not limited
3.724001387953381,Deccenial,2011,J01000070,,,16-64,,limited a lot
5.754903761761884,Deccenial,2011,J01000070,,,16-64,,limited a little
90.52109485028474,Deccenial,2011,J01000070,,,16-64,,not limited
5.6133393076754405,Deccenial,2011,J01000071,,,16-64,,limited a lot
7.489536956708265,Deccenial,2011,J01000071,,,16-64,,limited a little
86.8971237356163,Deccenial,2011,J01000071,,,16-64,,not limited
7.018385291766586,Deccenial,2011,J01000072,,,16-64,,limited a lot
8.349468573289515,Deccenial,2011,J01000072,,,16-64,,limited a little
84.6321461349439,Deccenial,2011,J01000072,,,16-64,,not limited
4.792338985188844,Deccenial,2011,J01000073,,,16-64,,limited a lot
7.042919763273801,Deccenial,2011,J01000073,,,16-64,,limited a little
88.16474125153735,Deccenial,2011,J01000073,,,16-64,,not limited
4.813649597770143,Deccenial,2011,J01000074,,,16-64,,limited a lot
6.825488816216143,Deccenial,2011,J01000074,,,16-64,,limited a little
88.36086158601371,Deccenial,2011,J01000074,,,16-64,,not limited
7.040688630808275,Deccenial,2011,J01000075,,,16-64,,limited a lot
8.024279849829831,Deccenial,2011,J01000075,,,16-64,,limited a little
84.93503151936189,Deccenial,2011,J01000075,,,16-64,,not limited
3.2730123069706583,Deccenial,2011,J01000076,,,16-64,,limited a lot
5.529495994371135,Deccenial,2011,J01000076,,,16-64,,limited a little
91.19749169865821,Deccenial,2011,J01000076,,,16-64,,not limited
5.654695928471145,Deccenial,2011,J01000077,,,16-64,,limited a lot
7.420749279538905,Deccenial,2011,J01000077,,,16-64,,limited a little
86.92455479198995,Deccenial,2011,J01000077,,,16-64,,not limited
8.776241376247299,Deccenial,2011,J01000078,,,16-64,,limited a lot
9.309211500310898,Deccenial,2011,J01000078,,,16-64,,limited a little
81.9145471234418,Deccenial,2011,J01000078,,,16-64,,not limited
8.161545725285102,Deccenial,2011,J01000079,,,16-64,,limited a lot
8.719401467276821,Deccenial,2011,J01000079,,,16-64,,limited a little
83.11905280743808,Deccenial,2011,J01000079,,,16-64,,not limited
8.501494437861451,Deccenial,2011,J01000080,,,16-64,,limited a lot
8.18138407937322,Deccenial,2011,J01000080,,,16-64,,limited a little
83.31712148276533,Deccenial,2011,J01000080,,,16-64,,not limited
6.239930842076309,Deccenial,2011,J01000081,,,16-64,,limited a lot
7.850996109866792,Deccenial,2011,J01000081,,,16-64,,limited a little
85.9090730480569,Deccenial,2011,J01000081,,,16-64,,not limited
6.0451295384901105,Deccenial,2011,J01000082,,,16-64,,limited a lot
7.4592842657688285,Deccenial,2011,J01000082,,,16-64,,limited a little
86.49558619574105,Deccenial,2011,J01000082,,,16-64,,not limited
4.849363981254184,Deccenial,2011,J01000083,,,16-64,,limited a lot
7.156884623967865,Deccenial,2011,J01000083,,,16-64,,limited a little
87.99375139477796,Deccenial,2011,J01000083,,,16-64,,not limited
4.4627563069500615,Deccenial,2011,J01000084,,,16-64,,limited a lot
6.438207599760797,Deccenial,2011,J01000084,,,16-64,,limited a little
89.09903609328914,Deccenial,2011,J01000084,,,16-64,,not limited
3.9518200613996615,Deccenial,2011,J01000085,,,16-64,,limited a lot
6.274669506923125,Deccenial,2011,J01000085,,,16-64,,limited a little
89.77351043167722,Deccenial,2011,J01000085,,,16-64,,not limited
8.826755520602662,Deccenial,2011,J01000086,,,16-64,,limited a lot
8.76880730147561,Deccenial,2011,J01000086,,,16-64,,limited a little
82.40443717792174,Deccenial,2011,J01000086,,,16-64,,not limited
5.272732677387712,Deccenial,2011,J01000087,,,16-64,,limited a lot
6.7827948039594546,Deccenial,2011,J01000087,,,16-64,,limited a little
87.94447251865284,Deccenial,2011,J01000087,,,16-64,,not limited
5.4651689464625415,Deccenial,2011,J01000088,,,16-64,,limited a lot
7.456291330736479,Deccenial,2011,J01000088,,,16-64,,limited a little
87.07853972280097,Deccenial,2011,J01000088,,,16-64,,not limited
6.979430205697942,Deccenial,2011,J01000089,,,16-64,,limited a lot
8.13258534081326,Deccenial,2011,J01000089,,,16-64,,limited a little
84.8879844534888,Deccenial,2011,J01000089,,,16-64,,not limited
3.1333745619459905,Deccenial,2011,J01000090,,,16-64,,limited a lot
5.310994921384532,Deccenial,2011,J01000090,,,16-64,,limited a little
91.55563051666947,Deccenial,2011,J01000090,,,16-64,,not limited
9.64241453314391,Deccenial,2011,J01000091,,,16-64,,limited a lot
8.963818275247105,Deccenial,2011,J01000091,,,16-64,,limited a little
81.39376719160897,Deccenial,2011,J01000091,,,16-64,,not limited
4.370022462732285,Deccenial,2011,J01000092,,,16-64,,limited a lot
6.480157919814852,Deccenial,2011,J01000092,,,16-64,,limited a little
89.14981961745286,Deccenial,2011,J01000092,,,16-64,,not limited
6.150059730278214,Deccenial,2011,J01000093,,,16-64,,limited a lot
7.829703939319795,Deccenial,2011,J01000093,,,16-64,,limited a little
86.02023633040199,Deccenial,2011,J01000093,,,16-64,,not limited
7.7430649070832205,Deccenial,2011,J01000094,,,16-64,,limited a lot
8.424069870339732,Deccenial,2011,J01000094,,,16-64,,limited a little
83.83286522257704,Deccenial,2011,J01000094,,,16-64,,not limited
8.467793164782112,Deccenial,2011,J01000095,,,16-64,,limited a lot
9.249719915454891,Deccenial,2011,J01000095,,,16-64,,limited a little
82.282486919763,Deccenial,2011,J01000095,,,16-64,,not limited
9.042605441994624,Deccenial,2011,J01000096,,,16-64,,limited a lot
8.895259017154695,Deccenial,2011,J01000096,,,16-64,,limited a little
82.06213554085068,Deccenial,2011,J01000096,,,16-64,,not limited
3.8532137698603752,Deccenial,2011,J01000097,,,16-64,,limited a lot
6.113083774675012,Deccenial,2011,J01000097,,,16-64,,limited a little
90.03370245546462,Deccenial,2011,J01000097,,,16-64,,not limited
9.202880297410685,Deccenial,2011,J01000098,,,16-64,,limited a lot
8.729490041432506,Deccenial,2011,J01000098,,,16-64,,limited a little
82.0676296611568,Deccenial,2011,J01000098,,,16-64,,not limited
4.7050918566348185,Deccenial,2011,J01000099,,,16-64,,limited a lot
6.6520264180009505,Deccenial,2011,J01000099,,,16-64,,limited a little
88.64288172536423,Deccenial,2011,J01000099,,,16-64,,not limited
6.881031721989007,Deccenial,2011,J01000100,,,16-64,,limited a lot
8.268057298654087,Deccenial,2011,J01000100,,,16-64,,limited a little
84.85091097935691,Deccenial,2011,J01000100,,,16-64,,not limited
6.643978894127198,Deccenial,2011,J01000101,,,16-64,,limited a lot
8.027100440226045,Deccenial,2011,J01000101,,,16-64,,limited a little
85.32892066564676,Deccenial,2011,J01000101,,,16-64,,not limited
6.817587330273703,Deccenial,2011,J01000102,,,16-64,,limited a lot
8.786531281953724,Deccenial,2011,J01000102,,,16-64,,limited a little
84.39588138777258,Deccenial,2011,J01000102,,,16-64,,not limited
5.725864921641167,Deccenial,2011,J01000103,,,16-64,,limited a lot
7.058801658269971,Deccenial,2011,J01000103,,,16-64,,limited a little
87.21533342008885,Deccenial,2011,J01000103,,,16-64,,not limited
3.948581969103067,Deccenial,2011,J01000104,,,16-64,,limited a lot
6.111367304588425,Deccenial,2011,J01000104,,,16-64,,limited a little
89.94005072630851,Deccenial,2011,J01000104,,,16-64,,not limited
8.398636768185469,Deccenial,2011,J01000105,,,16-64,,limited a lot
8.824104022402153,Deccenial,2011,J01000105,,,16-64,,limited a little
82.77725920941238,Deccenial,2011,J01000105,,,16-64,,not limited
6.994499148444689,Deccenial,2011,J01000106,,,16-64,,limited a lot
8.865963236301704,Deccenial,2011,J01000106,,,16-64,,limited a little
84.13953761525362,Deccenial,2011,J01000106,,,16-64,,not limited
8.260519967837041,Deccenial,2011,J01000107,,,16-64,,limited a lot
8.750111676940946,Deccenial,2011,J01000107,,,16-64,,limited a little
82.98936835522201,Deccenial,2011,J01000107,,,16-64,,not limited
3.1278890600924503,Deccenial,2011,J01000108,,,16-64,,limited a lot
5.5053929121725735,Deccenial,2011,J01000108,,,16-64,,limited a little
91.36671802773498,Deccenial,2011,J01000108,,,16-64,,not limited
6.429917321013069,Deccenial,2011,J01000109,,,16-64,,limited a lot
8.113671872380658,Deccenial,2011,J01000109,,,16-64,,limited a little
85.45641080660627,Deccenial,2011,J01000109,,,16-64,,not limited
4.504033807145602,Deccenial,2011,J01000110,,,16-64,,limited a lot
6.875144064540914,Deccenial,2011,J01000110,,,16-64,,limited a little
88.62082212831348,Deccenial,2011,J01000110,,,16-64,,not limited
5.2350071214279215,Deccenial,2011,J01000111,,,16-64,,limited a lot
7.2274917421740055,Deccenial,2011,J01000111,,,16-64,,limited a little
87.53750113639808,Deccenial,2011,J01000111,,,16-64,,not limited
3.739101776672559,Deccenial,2011,J01000112,,,16-64,,limited a lot
6.225844144171136,Deccenial,2011,J01000112,,,16-64,,limited a little
90.03505407915631,Deccenial,2011,J01000112,,,16-64,,not limited
