V4_0,Time_codelist,Time,Geography_codelist,Geography,Category_codelist,Category,Pay Type_codelist,Pay Type
318.832652252057,Month,Dec 2000,K03000001,,,Public sector,,Total Pay
309.708693341585,Month,Dec 2000,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
410.433319606905,Month,Dec 2000,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
315.848893382242,Month,Dec 2000,K03000001,,,Public sector excluding financial services,,Total Pay
369.406514657651,Month,Dec 2000,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
391.994760604806,Month,Dec 2000,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
217.053764504745,Month,Dec 2000,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
324.202051603149,Month,Jan 2001,K03000001,,,Whole Economy,,Total Pay
323.792795476485,Month,Jan 2001,K03000001,,,Private sector,,Total Pay
322.115819592354,Month,Jan 2001,K03000001,,,Public sector,,Total Pay
308.508570861933,Month,Jan 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
407.546891165796,Month,Jan 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
321.483109556996,Month,Jan 2001,K03000001,,,Public sector excluding financial services,,Total Pay
371.962964233516,Month,Jan 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
387.006994878257,Month,Jan 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
215.303399724926,Month,Jan 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
325.611119144375,Month,Feb 2001,K03000001,,,Whole Economy,,Total Pay
322.196750768294,Month,Feb 2001,K03000001,,,Private sector,,Total Pay
323.826699115553,Month,Feb 2001,K03000001,,,Public sector,,Total Pay
310.01165340972,Month,Feb 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
410.083106983359,Month,Feb 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
323.083460856397,Month,Feb 2001,K03000001,,,Public sector excluding financial services,,Total Pay
373.082176060657,Month,Feb 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
381.950192318356,Month,Feb 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
217.317452846384,Month,Feb 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
325.520082001422,Month,Mar 2001,K03000001,,,Whole Economy,,Total Pay
323.690501077561,Month,Mar 2001,K03000001,,,Private sector,,Total Pay
325.45561050005,Month,Mar 2001,K03000001,,,Public sector,,Total Pay
310.49612052234,Month,Mar 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
407.955902232235,Month,Mar 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
324.578116602885,Month,Mar 2001,K03000001,,,Public sector excluding financial services,,Total Pay
373.964213135694,Month,Mar 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
384.476025494419,Month,Mar 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
222.07125311937,Month,Mar 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
328.017822369651,Month,Apr 2001,K03000001,,,Whole Economy,,Total Pay
326.243656171924,Month,Apr 2001,K03000001,,,Private sector,,Total Pay
327.970232537394,Month,Apr 2001,K03000001,,,Public sector,,Total Pay
311.661275601013,Month,Apr 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
405.638911196939,Month,Apr 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
327.757119275925,Month,Apr 2001,K03000001,,,Public sector excluding financial services,,Total Pay
371.554647176157,Month,Apr 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
390.591182768365,Month,Apr 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
219.370064983663,Month,Apr 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
327.459631477758,Month,May 2001,K03000001,,,Whole Economy,,Total Pay
326.062566909694,Month,May 2001,K03000001,,,Private sector,,Total Pay
329.419456262995,Month,May 2001,K03000001,,,Public sector,,Total Pay
311.572558458393,Month,May 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
401.807947993004,Month,May 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
329.313788049946,Month,May 2001,K03000001,,,Public sector excluding financial services,,Total Pay
374.81334578866,Month,May 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
395.873037111239,Month,May 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
218.969460394518,Month,May 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
328.86220141644,Month,Jun 2001,K03000001,,,Whole Economy,,Total Pay
328.248129122628,Month,Jun 2001,K03000001,,,Private sector,,Total Pay
330.269856810186,Month,Jun 2001,K03000001,,,Public sector,,Total Pay
313.585585406352,Month,Jun 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
414.9030140206,Month,Jun 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
329.288490472151,Month,Jun 2001,K03000001,,,Public sector excluding financial services,,Total Pay
376.100742830681,Month,Jun 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
401.218265846326,Month,Jun 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
219.461858494897,Month,Jun 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
329.104119074768,Month,Jul 2001,K03000001,,,Whole Economy,,Total Pay
327.856995633864,Month,Jul 2001,K03000001,,,Private sector,,Total Pay
331.549266288201,Month,Jul 2001,K03000001,,,Public sector,,Total Pay
312.981995012853,Month,Jul 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
404.106177935428,Month,Jul 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
331.039245647015,Month,Jul 2001,K03000001,,,Public sector excluding financial services,,Total Pay
376.333670592679,Month,Jul 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
404.066080708169,Month,Jul 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
221.005553930066,Month,Jul 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
331.288349601422,Month,Aug 2001,K03000001,,,Whole Economy,,Total Pay
329.921645536864,Month,Aug 2001,K03000001,,,Private sector,,Total Pay
333.374920560499,Month,Aug 2001,K03000001,,,Public sector,,Total Pay
315.105699324876,Month,Aug 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
407.481784937474,Month,Aug 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
333.097527897993,Month,Aug 2001,K03000001,,,Public sector excluding financial services,,Total Pay
378.760763582318,Month,Aug 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
407.297728000072,Month,Aug 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
223.496820407719,Month,Aug 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
331.483337644073,Month,Sep 2001,K03000001,,,Whole Economy,,Total Pay
330.309180552499,Month,Sep 2001,K03000001,,,Private sector,,Total Pay
334.376953995319,Month,Sep 2001,K03000001,,,Public sector,,Total Pay
315.374488565208,Month,Sep 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
405.675338397327,Month,Sep 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
333.274271538406,Month,Sep 2001,K03000001,,,Public sector excluding financial services,,Total Pay
379.809942158293,Month,Sep 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
405.735619295737,Month,Sep 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
