V4_0,Time_codelist,Time,Geography_codelist,Geography,Category_codelist,Category,Pay Type_codelist,Pay Type,Percentage Change_codelist,Percentage Change
4.965790347464,Month,Jul 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
5.520318678233,Month,Jul 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
5.175115580849,Month,Jul 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
6.261084713263,Month,Jul 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
5.858546414843,Month,Jul 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
5.749338039417,Month,Jul 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
3.76922766694,Month,Jul 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
3.766832498614,Month,Jul 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
9.639141572415,Month,Jul 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
9.184069548742,Month,Jul 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
4.547222807065,Month,Jul 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
4.089784461936,Month,Jul 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
5.053181218593,Month,Aug 2001,K03000001,,,Whole Economy,,Total Pay,,Single month
5.24759867077,Month,Aug 2001,K03000001,,,Whole Economy,,Total Pay,,3 month average
4.739691458927,Month,Aug 2001,K03000001,,,Private sector,,Total Pay,,Single month
5.075192491458,Month,Aug 2001,K03000001,,,Private sector,,Total Pay,,3 month average
6.573289172284,Month,Aug 2001,K03000001,,,Public sector,,Total Pay,,Single month
6.023342672475,Month,Aug 2001,K03000001,,,Public sector,,Total Pay,,3 month average
4.979836101384,Month,Aug 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
5.40932960126,Month,Aug 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
5.505638139338,Month,Aug 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
6.444013402826,Month,Aug 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
6.539726379781,Month,Aug 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
5.943459756574,Month,Aug 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
4.433275964439,Month,Aug 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
4.070683968187,Month,Aug 2001,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
9.275023558765,Month,Aug 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
9.333247447241,Month,Aug 2001,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
4.838752591682,Month,Aug 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
4.511521423264,Month,Aug 2001,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
4.451725516419,Month,Sep 2001,K03000001,,,Whole Economy,,Total Pay,,Single month
4.79121931147,Month,Sep 2001,K03000001,,,Whole Economy,,Total Pay,,3 month average
4.116976025575,Month,Sep 2001,K03000001,,,Private sector,,Total Pay,,Single month
4.506552086816,Month,Sep 2001,K03000001,,,Private sector,,Total Pay,,3 month average
6.077889124942,Month,Sep 2001,K03000001,,,Public sector,,Total Pay,,Single month
6.196273710649,Month,Sep 2001,K03000001,,,Public sector,,Total Pay,,3 month average
4.430711818592,Month,Sep 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
4.790993343913,Month,Sep 2001,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
3.845035829523,Month,Sep 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
4.837548036504,Month,Sep 2001,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
5.998488513612,Month,Sep 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
6.131983153697,Month,Sep 2001,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
