V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
800.0,Year,2017,E14000634,,,Enterprise,41-43,41-43 : Construction
60.0,Year,2017,E14000634,,,Enterprise,45,45 : Motor trades
145.0,Year,2017,E14000634,,,Enterprise,46,46 : Wholesale
300.0,Year,2017,E14000634,,,Enterprise,47,47 : Retail
130.0,Year,2017,E14000634,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
180.0,Year,2017,E14000634,,,Enterprise,55-56,55-56 : Accommodation & food services
465.0,Year,2017,E14000634,,,Enterprise,58-63,58-63 : Information & communication
75.0,Year,2017,E14000634,,,Enterprise,64-66,64-66 : Finance & insurance
145.0,Year,2017,E14000634,,,Enterprise,68,68 : Property
880.0,Year,2017,E14000634,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
385.0,Year,2017,E14000634,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000634,,,Enterprise,84,84 : Public administration & defence
80.0,Year,2017,E14000634,,,Enterprise,85,85 : Education
215.0,Year,2017,E14000634,,,Enterprise,86-88,86-88 : Health
270.0,Year,2017,E14000634,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
4250.0,Year,2017,E14000634,,,Enterprise,Total,Total
5.0,Year,2017,E14000636,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
165.0,Year,2017,E14000636,,,Enterprise,05-39,05-39 : Production
865.0,Year,2017,E14000636,,,Enterprise,41-43,41-43 : Construction
100.0,Year,2017,E14000636,,,Enterprise,45,45 : Motor trades
290.0,Year,2017,E14000636,,,Enterprise,46,46 : Wholesale
385.0,Year,2017,E14000636,,,Enterprise,47,47 : Retail
140.0,Year,2017,E14000636,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
230.0,Year,2017,E14000636,,,Enterprise,55-56,55-56 : Accommodation & food services
810.0,Year,2017,E14000636,,,Enterprise,58-63,58-63 : Information & communication
90.0,Year,2017,E14000636,,,Enterprise,64-66,64-66 : Finance & insurance
385.0,Year,2017,E14000636,,,Enterprise,68,68 : Property
1485.0,Year,2017,E14000636,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
590.0,Year,2017,E14000636,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000636,,,Enterprise,84,84 : Public administration & defence
125.0,Year,2017,E14000636,,,Enterprise,85,85 : Education
325.0,Year,2017,E14000636,,,Enterprise,86-88,86-88 : Health
455.0,Year,2017,E14000636,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
6445.0,Year,2017,E14000636,,,Enterprise,Total,Total
115.0,Year,2017,E14000639,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
1920.0,Year,2017,E14000639,,,Enterprise,05-39,05-39 : Production
3075.0,Year,2017,E14000639,,,Enterprise,41-43,41-43 : Construction
90.0,Year,2017,E14000639,,,Enterprise,45,45 : Motor trades
1865.0,Year,2017,E14000639,,,Enterprise,46,46 : Wholesale
2680.0,Year,2017,E14000639,,,Enterprise,47,47 : Retail
595.0,Year,2017,E14000639,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
2455.0,Year,2017,E14000639,,,Enterprise,55-56,55-56 : Accommodation & food services
6115.0,Year,2017,E14000639,,,Enterprise,58-63,58-63 : Information & communication
6800.0,Year,2017,E14000639,,,Enterprise,64-66,64-66 : Finance & insurance
5395.0,Year,2017,E14000639,,,Enterprise,68,68 : Property
17925.0,Year,2017,E14000639,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
10430.0,Year,2017,E14000639,,,Enterprise,77-82,77-82 : Business administration & support services
40.0,Year,2017,E14000639,,,Enterprise,84,84 : Public administration & defence
630.0,Year,2017,E14000639,,,Enterprise,85,85 : Education
