V4_0,Time_codelist,Time,Geography_codelist,Geography,Employment size band_codelist,Employment size band,Entity Type_codelist,Entity Type
1650.0,Year,2016,E14000853,,,0-4,,Enterprise
305.0,Year,2016,E14000853,,,5-9,,Enterprise
130.0,Year,2016,E14000853,,,10-19,,Enterprise
90.0,Year,2016,E14000853,,,20-49,,Enterprise
25.0,Year,2016,E14000853,,,50-99,,Enterprise
15.0,Year,2016,E14000853,,,100-249,,Enterprise
20.0,Year,2016,E14000853,,,250+,,Enterprise
2235.0,Year,2016,E14000853,,,Total,,Enterprise
2090.0,Year,2016,E14000856,,,0-4,,Enterprise
360.0,Year,2016,E14000856,,,5-9,,Enterprise
150.0,Year,2016,E14000856,,,10-19,,Enterprise
75.0,Year,2016,E14000856,,,20-49,,Enterprise
25.0,Year,2016,E14000856,,,50-99,,Enterprise
15.0,Year,2016,E14000856,,,100-249,,Enterprise
5.0,Year,2016,E14000856,,,250+,,Enterprise
2720.0,Year,2016,E14000856,,,Total,,Enterprise
1475.0,Year,2016,E14000891,,,0-4,,Enterprise
255.0,Year,2016,E14000891,,,5-9,,Enterprise
125.0,Year,2016,E14000891,,,10-19,,Enterprise
65.0,Year,2016,E14000891,,,20-49,,Enterprise
20.0,Year,2016,E14000891,,,50-99,,Enterprise
15.0,Year,2016,E14000891,,,100-249,,Enterprise
10.0,Year,2016,E14000891,,,250+,,Enterprise
1965.0,Year,2016,E14000891,,,Total,,Enterprise
2025.0,Year,2016,E14000915,,,0-4,,Enterprise
310.0,Year,2016,E14000915,,,5-9,,Enterprise
170.0,Year,2016,E14000915,,,10-19,,Enterprise
100.0,Year,2016,E14000915,,,20-49,,Enterprise
45.0,Year,2016,E14000915,,,50-99,,Enterprise
15.0,Year,2016,E14000915,,,100-249,,Enterprise
10.0,Year,2016,E14000915,,,250+,,Enterprise
2675.0,Year,2016,E14000915,,,Total,,Enterprise
1365.0,Year,2016,E14000944,,,0-4,,Enterprise
250.0,Year,2016,E14000944,,,5-9,,Enterprise
90.0,Year,2016,E14000944,,,10-19,,Enterprise
55.0,Year,2016,E14000944,,,20-49,,Enterprise
20.0,Year,2016,E14000944,,,50-99,,Enterprise
10.0,Year,2016,E14000944,,,100-249,,Enterprise
10.0,Year,2016,E14000944,,,250+,,Enterprise
1800.0,Year,2016,E14000944,,,Total,,Enterprise
1845.0,Year,2016,E14000970,,,0-4,,Enterprise
300.0,Year,2016,E14000970,,,5-9,,Enterprise
150.0,Year,2016,E14000970,,,10-19,,Enterprise
105.0,Year,2016,E14000970,,,20-49,,Enterprise
40.0,Year,2016,E14000970,,,50-99,,Enterprise
20.0,Year,2016,E14000970,,,100-249,,Enterprise
10.0,Year,2016,E14000970,,,250+,,Enterprise
2470.0,Year,2016,E14000970,,,Total,,Enterprise
2405.0,Year,2016,E14000971,,,0-4,,Enterprise
295.0,Year,2016,E14000971,,,5-9,,Enterprise
170.0,Year,2016,E14000971,,,10-19,,Enterprise
90.0,Year,2016,E14000971,,,20-49,,Enterprise
35.0,Year,2016,E14000971,,,50-99,,Enterprise
15.0,Year,2016,E14000971,,,100-249,,Enterprise
10.0,Year,2016,E14000971,,,250+,,Enterprise
3020.0,Year,2016,E14000971,,,Total,,Enterprise
1850.0,Year,2016,E14000982,,,0-4,,Enterprise
430.0,Year,2016,E14000982,,,5-9,,Enterprise
205.0,Year,2016,E14000982,,,10-19,,Enterprise
110.0,Year,2016,E14000982,,,20-49,,Enterprise
30.0,Year,2016,E14000982,,,50-99,,Enterprise
10.0,Year,2016,E14000982,,,100-249,,Enterprise
20.0,Year,2016,E14000982,,,250+,,Enterprise
2655.0,Year,2016,E14000982,,,Total,,Enterprise
2140.0,Year,2016,E14001006,,,0-4,,Enterprise
345.0,Year,2016,E14001006,,,5-9,,Enterprise
195.0,Year,2016,E14001006,,,10-19,,Enterprise
85.0,Year,2016,E14001006,,,20-49,,Enterprise
30.0,Year,2016,E14001006,,,50-99,,Enterprise
15.0,Year,2016,E14001006,,,100-249,,Enterprise
10.0,Year,2016,E14001006,,,250+,,Enterprise
2820.0,Year,2016,E14001006,,,Total,,Enterprise
1470.0,Year,2016,E14001014,,,0-4,,Enterprise
270.0,Year,2016,E14001014,,,5-9,,Enterprise
120.0,Year,2016,E14001014,,,10-19,,Enterprise
55.0,Year,2016,E14001014,,,20-49,,Enterprise
15.0,Year,2016,E14001014,,,50-99,,Enterprise
5.0,Year,2016,E14001014,,,100-249,,Enterprise
10.0,Year,2016,E14001014,,,250+,,Enterprise
1945.0,Year,2016,E14001014,,,Total,,Enterprise
1130.0,Year,2016,E14001020,,,0-4,,Enterprise
235.0,Year,2016,E14001020,,,5-9,,Enterprise
145.0,Year,2016,E14001020,,,10-19,,Enterprise
85.0,Year,2016,E14001020,,,20-49,,Enterprise
20.0,Year,2016,E14001020,,,50-99,,Enterprise
25.0,Year,2016,E14001020,,,100-249,,Enterprise
5.0,Year,2016,E14001020,,,250+,,Enterprise
1645.0,Year,2016,E14001020,,,Total,,Enterprise
200610.0,Year,2016,E12000002,,,0-4,,Enterprise
30050.0,Year,2016,E12000002,,,5-9,,Enterprise
15555.0,Year,2016,E12000002,,,10-19,,Enterprise
8600.0,Year,2016,E12000002,,,20-49,,Enterprise
2765.0,Year,2016,E12000002,,,50-99,,Enterprise
1500.0,Year,2016,E12000002,,,100-249,,Enterprise
975.0,Year,2016,E12000002,,,250+,,Enterprise
260055.0,Year,2016,E12000002,,,Total,,Enterprise
4655.0,Year,2016,E14000532,,,0-4,,Enterprise
570.0,Year,2016,E14000532,,,5-9,,Enterprise
285.0,Year,2016,E14000532,,,10-19,,Enterprise
140.0,Year,2016,E14000532,,,20-49,,Enterprise
55.0,Year,2016,E14000532,,,50-99,,Enterprise
20.0,Year,2016,E14000532,,,100-249,,Enterprise
30.0,Year,2016,E14000532,,,250+,,Enterprise
5755.0,Year,2016,E14000532,,,Total,,Enterprise
1970.0,Year,2016,E14000537,,,0-4,,Enterprise
325.0,Year,2016,E14000537,,,5-9,,Enterprise
160.0,Year,2016,E14000537,,,10-19,,Enterprise
95.0,Year,2016,E14000537,,,20-49,,Enterprise
20.0,Year,2016,E14000537,,,50-99,,Enterprise
15.0,Year,2016,E14000537,,,100-249,,Enterprise
15.0,Year,2016,E14000537,,,250+,,Enterprise
2600.0,Year,2016,E14000537,,,Total,,Enterprise
2470.0,Year,2016,E14000543,,,0-4,,Enterprise
320.0,Year,2016,E14000543,,,5-9,,Enterprise
165.0,Year,2016,E14000543,,,10-19,,Enterprise
105.0,Year,2016,E14000543,,,20-49,,Enterprise
25.0,Year,2016,E14000543,,,50-99,,Enterprise
15.0,Year,2016,E14000543,,,100-249,,Enterprise
5.0,Year,2016,E14000543,,,250+,,Enterprise
3105.0,Year,2016,E14000543,,,Total,,Enterprise
1730.0,Year,2016,E14000559,,,0-4,,Enterprise
330.0,Year,2016,E14000559,,,5-9,,Enterprise
170.0,Year,2016,E14000559,,,10-19,,Enterprise
105.0,Year,2016,E14000559,,,20-49,,Enterprise
35.0,Year,2016,E14000559,,,50-99,,Enterprise
20.0,Year,2016,E14000559,,,100-249,,Enterprise
5.0,Year,2016,E14000559,,,250+,,Enterprise
2395.0,Year,2016,E14000559,,,Total,,Enterprise
2420.0,Year,2016,E14000570,,,0-4,,Enterprise
410.0,Year,2016,E14000570,,,5-9,,Enterprise
270.0,Year,2016,E14000570,,,10-19,,Enterprise
150.0,Year,2016,E14000570,,,20-49,,Enterprise
60.0,Year,2016,E14000570,,,50-99,,Enterprise
30.0,Year,2016,E14000570,,,100-249,,Enterprise
15.0,Year,2016,E14000570,,,250+,,Enterprise
3355.0,Year,2016,E14000570,,,Total,,Enterprise
3020.0,Year,2016,E14000571,,,0-4,,Enterprise
445.0,Year,2016,E14000571,,,5-9,,Enterprise
200.0,Year,2016,E14000571,,,10-19,,Enterprise
95.0,Year,2016,E14000571,,,20-49,,Enterprise
30.0,Year,2016,E14000571,,,50-99,,Enterprise
15.0,Year,2016,E14000571,,,100-249,,Enterprise
10.0,Year,2016,E14000571,,,250+,,Enterprise
3815.0,Year,2016,E14000571,,,Total,,Enterprise
1615.0,Year,2016,E14000572,,,0-4,,Enterprise
230.0,Year,2016,E14000572,,,5-9,,Enterprise
125.0,Year,2016,E14000572,,,10-19,,Enterprise
65.0,Year,2016,E14000572,,,20-49,,Enterprise
25.0,Year,2016,E14000572,,,50-99,,Enterprise
10.0,Year,2016,E14000572,,,100-249,,Enterprise
5.0,Year,2016,E14000572,,,250+,,Enterprise
2075.0,Year,2016,E14000572,,,Total,,Enterprise
1825.0,Year,2016,E14000573,,,0-4,,Enterprise
340.0,Year,2016,E14000573,,,5-9,,Enterprise
175.0,Year,2016,E14000573,,,10-19,,Enterprise
85.0,Year,2016,E14000573,,,20-49,,Enterprise
35.0,Year,2016,E14000573,,,50-99,,Enterprise
15.0,Year,2016,E14000573,,,100-249,,Enterprise
10.0,Year,2016,E14000573,,,250+,,Enterprise
2485.0,Year,2016,E14000573,,,Total,,Enterprise
2525.0,Year,2016,E14000578,,,0-4,,Enterprise
410.0,Year,2016,E14000578,,,5-9,,Enterprise
215.0,Year,2016,E14000578,,,10-19,,Enterprise
120.0,Year,2016,E14000578,,,20-49,,Enterprise
35.0,Year,2016,E14000578,,,50-99,,Enterprise
15.0,Year,2016,E14000578,,,100-249,,Enterprise
5.0,Year,2016,E14000578,,,250+,,Enterprise
3325.0,Year,2016,E14000578,,,Total,,Enterprise
2150.0,Year,2016,E14000579,,,0-4,,Enterprise
390.0,Year,2016,E14000579,,,5-9,,Enterprise
190.0,Year,2016,E14000579,,,10-19,,Enterprise
110.0,Year,2016,E14000579,,,20-49,,Enterprise
35.0,Year,2016,E14000579,,,50-99,,Enterprise
25.0,Year,2016,E14000579,,,100-249,,Enterprise
15.0,Year,2016,E14000579,,,250+,,Enterprise
2915.0,Year,2016,E14000579,,,Total,,Enterprise
2550.0,Year,2016,E14000580,,,0-4,,Enterprise
335.0,Year,2016,E14000580,,,5-9,,Enterprise
200.0,Year,2016,E14000580,,,10-19,,Enterprise
75.0,Year,2016,E14000580,,,20-49,,Enterprise
40.0,Year,2016,E14000580,,,50-99,,Enterprise
15.0,Year,2016,E14000580,,,100-249,,Enterprise
15.0,Year,2016,E14000580,,,250+,,Enterprise
3230.0,Year,2016,E14000580,,,Total,,Enterprise
1850.0,Year,2016,E14000581,,,0-4,,Enterprise
310.0,Year,2016,E14000581,,,5-9,,Enterprise
170.0,Year,2016,E14000581,,,10-19,,Enterprise
70.0,Year,2016,E14000581,,,20-49,,Enterprise
20.0,Year,2016,E14000581,,,50-99,,Enterprise
10.0,Year,2016,E14000581,,,100-249,,Enterprise
15.0,Year,2016,E14000581,,,250+,,Enterprise
2445.0,Year,2016,E14000581,,,Total,,Enterprise
1890.0,Year,2016,E14000609,,,0-4,,Enterprise
320.0,Year,2016,E14000609,,,5-9,,Enterprise
190.0,Year,2016,E14000609,,,10-19,,Enterprise
105.0,Year,2016,E14000609,,,20-49,,Enterprise
35.0,Year,2016,E14000609,,,50-99,,Enterprise
15.0,Year,2016,E14000609,,,100-249,,Enterprise
10.0,Year,2016,E14000609,,,250+,,Enterprise
2565.0,Year,2016,E14000609,,,Total,,Enterprise
3185.0,Year,2016,E14000611,,,0-4,,Enterprise
660.0,Year,2016,E14000611,,,5-9,,Enterprise
280.0,Year,2016,E14000611,,,10-19,,Enterprise
130.0,Year,2016,E14000611,,,20-49,,Enterprise
40.0,Year,2016,E14000611,,,50-99,,Enterprise
15.0,Year,2016,E14000611,,,100-249,,Enterprise
10.0,Year,2016,E14000611,,,250+,,Enterprise
4320.0,Year,2016,E14000611,,,Total,,Enterprise
2940.0,Year,2016,E14000612,,,0-4,,Enterprise
390.0,Year,2016,E14000612,,,5-9,,Enterprise
205.0,Year,2016,E14000612,,,10-19,,Enterprise
85.0,Year,2016,E14000612,,,20-49,,Enterprise
30.0,Year,2016,E14000612,,,50-99,,Enterprise
5.0,Year,2016,E14000612,,,100-249,,Enterprise
10.0,Year,2016,E14000612,,,250+,,Enterprise
3665.0,Year,2016,E14000612,,,Total,,Enterprise
2235.0,Year,2016,E14000620,,,0-4,,Enterprise
405.0,Year,2016,E14000620,,,5-9,,Enterprise
195.0,Year,2016,E14000620,,,10-19,,Enterprise
100.0,Year,2016,E14000620,,,20-49,,Enterprise
30.0,Year,2016,E14000620,,,50-99,,Enterprise
20.0,Year,2016,E14000620,,,100-249,,Enterprise
20.0,Year,2016,E14000620,,,250+,,Enterprise
3005.0,Year,2016,E14000620,,,Total,,Enterprise
3540.0,Year,2016,E14000627,,,0-4,,Enterprise
420.0,Year,2016,E14000627,,,5-9,,Enterprise
195.0,Year,2016,E14000627,,,10-19,,Enterprise
100.0,Year,2016,E14000627,,,20-49,,Enterprise
35.0,Year,2016,E14000627,,,50-99,,Enterprise
15.0,Year,2016,E14000627,,,100-249,,Enterprise
20.0,Year,2016,E14000627,,,250+,,Enterprise
4325.0,Year,2016,E14000627,,,Total,,Enterprise
2965.0,Year,2016,E14000637,,,0-4,,Enterprise
425.0,Year,2016,E14000637,,,5-9,,Enterprise
210.0,Year,2016,E14000637,,,10-19,,Enterprise
120.0,Year,2016,E14000637,,,20-49,,Enterprise
40.0,Year,2016,E14000637,,,50-99,,Enterprise
20.0,Year,2016,E14000637,,,100-249,,Enterprise
10.0,Year,2016,E14000637,,,250+,,Enterprise
3790.0,Year,2016,E14000637,,,Total,,Enterprise
3305.0,Year,2016,E14000640,,,0-4,,Enterprise
480.0,Year,2016,E14000640,,,5-9,,Enterprise
230.0,Year,2016,E14000640,,,10-19,,Enterprise
150.0,Year,2016,E14000640,,,20-49,,Enterprise
45.0,Year,2016,E14000640,,,50-99,,Enterprise
30.0,Year,2016,E14000640,,,100-249,,Enterprise
30.0,Year,2016,E14000640,,,250+,,Enterprise
4270.0,Year,2016,E14000640,,,Total,,Enterprise
4065.0,Year,2016,E14000646,,,0-4,,Enterprise
610.0,Year,2016,E14000646,,,5-9,,Enterprise
245.0,Year,2016,E14000646,,,10-19,,Enterprise
150.0,Year,2016,E14000646,,,20-49,,Enterprise
40.0,Year,2016,E14000646,,,50-99,,Enterprise
25.0,Year,2016,E14000646,,,100-249,,Enterprise
5.0,Year,2016,E14000646,,,250+,,Enterprise
5140.0,Year,2016,E14000646,,,Total,,Enterprise
2720.0,Year,2016,E14000647,,,0-4,,Enterprise
335.0,Year,2016,E14000647,,,5-9,,Enterprise
180.0,Year,2016,E14000647,,,10-19,,Enterprise
80.0,Year,2016,E14000647,,,20-49,,Enterprise
25.0,Year,2016,E14000647,,,50-99,,Enterprise
10.0,Year,2016,E14000647,,,100-249,,Enterprise
0.0,Year,2016,E14000647,,,250+,,Enterprise
3350.0,Year,2016,E14000647,,,Total,,Enterprise
2785.0,Year,2016,E14000653,,,0-4,,Enterprise
430.0,Year,2016,E14000653,,,5-9,,Enterprise
