V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Turnover Size Band_codelist,Turnover Size Band
100.0,Year,2016,E06000007,,,Enterprise,,5000-9999
95.0,Year,2016,E06000007,,,Enterprise,,10000-49999
45.0,Year,2016,E06000007,,,Enterprise,,50000+
7970.0,Year,2016,E06000007,,,Enterprise,,Total
4850.0,Year,2016,E10000006,,,Enterprise,,0-49
6020.0,Year,2016,E10000006,,,Enterprise,,50-99
6860.0,Year,2016,E10000006,,,Enterprise,,100-249
2950.0,Year,2016,E10000006,,,Enterprise,,250-499
1545.0,Year,2016,E10000006,,,Enterprise,,500-999
765.0,Year,2016,E10000006,,,Enterprise,,1000-1999
450.0,Year,2016,E10000006,,,Enterprise,,2000-4999
175.0,Year,2016,E10000006,,,Enterprise,,5000-9999
105.0,Year,2016,E10000006,,,Enterprise,,10000-49999
35.0,Year,2016,E10000006,,,Enterprise,,50000+
23755.0,Year,2016,E10000006,,,Enterprise,,Total
855.0,Year,2016,E07000026,,,Enterprise,,0-49
1190.0,Year,2016,E07000026,,,Enterprise,,50-99
1310.0,Year,2016,E07000026,,,Enterprise,,100-249
590.0,Year,2016,E07000026,,,Enterprise,,250-499
290.0,Year,2016,E07000026,,,Enterprise,,500-999
135.0,Year,2016,E07000026,,,Enterprise,,1000-1999
75.0,Year,2016,E07000026,,,Enterprise,,2000-4999
30.0,Year,2016,E07000026,,,Enterprise,,5000-9999
20.0,Year,2016,E07000026,,,Enterprise,,10000-49999
5.0,Year,2016,E07000026,,,Enterprise,,50000+
4500.0,Year,2016,E07000026,,,Enterprise,,Total
290.0,Year,2016,E07000027,,,Enterprise,,0-49
650.0,Year,2016,E07000027,,,Enterprise,,50-99
605.0,Year,2016,E07000027,,,Enterprise,,100-249
220.0,Year,2016,E07000027,,,Enterprise,,250-499
120.0,Year,2016,E07000027,,,Enterprise,,500-999
50.0,Year,2016,E07000027,,,Enterprise,,1000-1999
45.0,Year,2016,E07000027,,,Enterprise,,2000-4999
10.0,Year,2016,E07000027,,,Enterprise,,5000-9999
5.0,Year,2016,E07000027,,,Enterprise,,10000-49999
0.0,Year,2016,E07000027,,,Enterprise,,50000+
1995.0,Year,2016,E07000027,,,Enterprise,,Total
1145.0,Year,2016,E07000028,,,Enterprise,,0-49
1030.0,Year,2016,E07000028,,,Enterprise,,50-99
1220.0,Year,2016,E07000028,,,Enterprise,,100-249
570.0,Year,2016,E07000028,,,Enterprise,,250-499
330.0,Year,2016,E07000028,,,Enterprise,,500-999
175.0,Year,2016,E07000028,,,Enterprise,,1000-1999
110.0,Year,2016,E07000028,,,Enterprise,,2000-4999
40.0,Year,2016,E07000028,,,Enterprise,,5000-9999
40.0,Year,2016,E07000028,,,Enterprise,,10000-49999
15.0,Year,2016,E07000028,,,Enterprise,,50000+
4675.0,Year,2016,E07000028,,,Enterprise,,Total
480.0,Year,2016,E07000029,,,Enterprise,,0-49
915.0,Year,2016,E07000029,,,Enterprise,,50-99
755.0,Year,2016,E07000029,,,Enterprise,,100-249
225.0,Year,2016,E07000029,,,Enterprise,,250-499
95.0,Year,2016,E07000029,,,Enterprise,,500-999
45.0,Year,2016,E07000029,,,Enterprise,,1000-1999
30.0,Year,2016,E07000029,,,Enterprise,,2000-4999
15.0,Year,2016,E07000029,,,Enterprise,,5000-9999
0.0,Year,2016,E07000029,,,Enterprise,,10000-49999
5.0,Year,2016,E07000029,,,Enterprise,,50000+
2565.0,Year,2016,E07000029,,,Enterprise,,Total
860.0,Year,2016,E07000030,,,Enterprise,,0-49
740.0,Year,2016,E07000030,,,Enterprise,,50-99
1025.0,Year,2016,E07000030,,,Enterprise,,100-249
510.0,Year,2016,E07000030,,,Enterprise,,250-499
265.0,Year,2016,E07000030,,,Enterprise,,500-999
120.0,Year,2016,E07000030,,,Enterprise,,1000-1999
60.0,Year,2016,E07000030,,,Enterprise,,2000-4999
25.0,Year,2016,E07000030,,,Enterprise,,5000-9999
15.0,Year,2016,E07000030,,,Enterprise,,10000-49999
5.0,Year,2016,E07000030,,,Enterprise,,50000+
3625.0,Year,2016,E07000030,,,Enterprise,,Total
1220.0,Year,2016,E07000031,,,Enterprise,,0-49
1495.0,Year,2016,E07000031,,,Enterprise,,50-99
1945.0,Year,2016,E07000031,,,Enterprise,,100-249
835.0,Year,2016,E07000031,,,Enterprise,,250-499
445.0,Year,2016,E07000031,,,Enterprise,,500-999
240.0,Year,2016,E07000031,,,Enterprise,,1000-1999
130.0,Year,2016,E07000031,,,Enterprise,,2000-4999
55.0,Year,2016,E07000031,,,Enterprise,,5000-9999
25.0,Year,2016,E07000031,,,Enterprise,,10000-49999
5.0,Year,2016,E07000031,,,Enterprise,,50000+
6395.0,Year,2016,E07000031,,,Enterprise,,Total
16480.0,Year,2016,E11000001,,,Enterprise,,0-49
26060.0,Year,2016,E11000001,,,Enterprise,,50-99
29960.0,Year,2016,E11000001,,,Enterprise,,100-249
11720.0,Year,2016,E11000001,,,Enterprise,,250-499
6995.0,Year,2016,E11000001,,,Enterprise,,500-999
3965.0,Year,2016,E11000001,,,Enterprise,,1000-1999
2955.0,Year,2016,E11000001,,,Enterprise,,2000-4999
1165.0,Year,2016,E11000001,,,Enterprise,,5000-9999
925.0,Year,2016,E11000001,,,Enterprise,,10000-49999
285.0,Year,2016,E11000001,,,Enterprise,,50000+
100510.0,Year,2016,E11000001,,,Enterprise,,Total
1445.0,Year,2016,E08000001,,,Enterprise,,0-49
2210.0,Year,2016,E08000001,,,Enterprise,,50-99
2820.0,Year,2016,E08000001,,,Enterprise,,100-249
1100.0,Year,2016,E08000001,,,Enterprise,,250-499
675.0,Year,2016,E08000001,,,Enterprise,,500-999
375.0,Year,2016,E08000001,,,Enterprise,,1000-1999
285.0,Year,2016,E08000001,,,Enterprise,,2000-4999
100.0,Year,2016,E08000001,,,Enterprise,,5000-9999
75.0,Year,2016,E08000001,,,Enterprise,,10000-49999
25.0,Year,2016,E08000001,,,Enterprise,,50000+
9110.0,Year,2016,E08000001,,,Enterprise,,Total
1110.0,Year,2016,E08000002,,,Enterprise,,0-49
2440.0,Year,2016,E08000002,,,Enterprise,,50-99
2345.0,Year,2016,E08000002,,,Enterprise,,100-249
960.0,Year,2016,E08000002,,,Enterprise,,250-499
540.0,Year,2016,E08000002,,,Enterprise,,500-999
290.0,Year,2016,E08000002,,,Enterprise,,1000-1999
180.0,Year,2016,E08000002,,,Enterprise,,2000-4999
55.0,Year,2016,E08000002,,,Enterprise,,5000-9999
45.0,Year,2016,E08000002,,,Enterprise,,10000-49999
15.0,Year,2016,E08000002,,,Enterprise,,50000+
7980.0,Year,2016,E08000002,,,Enterprise,,Total
3700.0,Year,2016,E08000003,,,Enterprise,,0-49
5750.0,Year,2016,E08000003,,,Enterprise,,50-99
6580.0,Year,2016,E08000003,,,Enterprise,,100-249
2610.0,Year,2016,E08000003,,,Enterprise,,250-499
1660.0,Year,2016,E08000003,,,Enterprise,,500-999
905.0,Year,2016,E08000003,,,Enterprise,,1000-1999
705.0,Year,2016,E08000003,,,Enterprise,,2000-4999
255.0,Year,2016,E08000003,,,Enterprise,,5000-9999
240.0,Year,2016,E08000003,,,Enterprise,,10000-49999
85.0,Year,2016,E08000003,,,Enterprise,,50000+
22490.0,Year,2016,E08000003,,,Enterprise,,Total
980.0,Year,2016,E08000004,,,Enterprise,,0-49
1990.0,Year,2016,E08000004,,,Enterprise,,50-99
2005.0,Year,2016,E08000004,,,Enterprise,,100-249
880.0,Year,2016,E08000004,,,Enterprise,,250-499
510.0,Year,2016,E08000004,,,Enterprise,,500-999
275.0,Year,2016,E08000004,,,Enterprise,,1000-1999
200.0,Year,2016,E08000004,,,Enterprise,,2000-4999
80.0,Year,2016,E08000004,,,Enterprise,,5000-9999
65.0,Year,2016,E08000004,,,Enterprise,,10000-49999
10.0,Year,2016,E08000004,,,Enterprise,,50000+
6995.0,Year,2016,E08000004,,,Enterprise,,Total
1090.0,Year,2016,E08000005,,,Enterprise,,0-49
1730.0,Year,2016,E08000005,,,Enterprise,,50-99
1985.0,Year,2016,E08000005,,,Enterprise,,100-249
795.0,Year,2016,E08000005,,,Enterprise,,250-499
435.0,Year,2016,E08000005,,,Enterprise,,500-999
260.0,Year,2016,E08000005,,,Enterprise,,1000-1999
215.0,Year,2016,E08000005,,,Enterprise,,2000-4999
85.0,Year,2016,E08000005,,,Enterprise,,5000-9999
70.0,Year,2016,E08000005,,,Enterprise,,10000-49999
20.0,Year,2016,E08000005,,,Enterprise,,50000+
6685.0,Year,2016,E08000005,,,Enterprise,,Total
1420.0,Year,2016,E08000006,,,Enterprise,,0-49
2435.0,Year,2016,E08000006,,,Enterprise,,50-99
2415.0,Year,2016,E08000006,,,Enterprise,,100-249
990.0,Year,2016,E08000006,,,Enterprise,,250-499
570.0,Year,2016,E08000006,,,Enterprise,,500-999
385.0,Year,2016,E08000006,,,Enterprise,,1000-1999
280.0,Year,2016,E08000006,,,Enterprise,,2000-4999
125.0,Year,2016,E08000006,,,Enterprise,,5000-9999
90.0,Year,2016,E08000006,,,Enterprise,,10000-49999
30.0,Year,2016,E08000006,,,Enterprise,,50000+
8740.0,Year,2016,E08000006,,,Enterprise,,Total
1815.0,Year,2016,E08000007,,,Enterprise,,0-49
3020.0,Year,2016,E08000007,,,Enterprise,,50-99
3680.0,Year,2016,E08000007,,,Enterprise,,100-249
1335.0,Year,2016,E08000007,,,Enterprise,,250-499
785.0,Year,2016,E08000007,,,Enterprise,,500-999
450.0,Year,2016,E08000007,,,Enterprise,,1000-1999
320.0,Year,2016,E08000007,,,Enterprise,,2000-4999
140.0,Year,2016,E08000007,,,Enterprise,,5000-9999
95.0,Year,2016,E08000007,,,Enterprise,,10000-49999
25.0,Year,2016,E08000007,,,Enterprise,,50000+
11665.0,Year,2016,E08000007,,,Enterprise,,Total
910.0,Year,2016,E08000008,,,Enterprise,,0-49
1520.0,Year,2016,E08000008,,,Enterprise,,50-99
1980.0,Year,2016,E08000008,,,Enterprise,,100-249
780.0,Year,2016,E08000008,,,Enterprise,,250-499
405.0,Year,2016,E08000008,,,Enterprise,,500-999
260.0,Year,2016,E08000008,,,Enterprise,,1000-1999
175.0,Year,2016,E08000008,,,Enterprise,,2000-4999
75.0,Year,2016,E08000008,,,Enterprise,,5000-9999
45.0,Year,2016,E08000008,,,Enterprise,,10000-49999
15.0,Year,2016,E08000008,,,Enterprise,,50000+
6165.0,Year,2016,E08000008,,,Enterprise,,Total
2705.0,Year,2016,E08000009,,,Enterprise,,0-49
2625.0,Year,2016,E08000009,,,Enterprise,,50-99
3400.0,Year,2016,E08000009,,,Enterprise,,100-249
1220.0,Year,2016,E08000009,,,Enterprise,,250-499
780.0,Year,2016,E08000009,,,Enterprise,,500-999
425.0,Year,2016,E08000009,,,Enterprise,,1000-1999
350.0,Year,2016,E08000009,,,Enterprise,,2000-4999
145.0,Year,2016,E08000009,,,Enterprise,,5000-9999
130.0,Year,2016,E08000009,,,Enterprise,,10000-49999
45.0,Year,2016,E08000009,,,Enterprise,,50000+
11825.0,Year,2016,E08000009,,,Enterprise,,Total
1305.0,Year,2016,E08000010,,,Enterprise,,0-49
2340.0,Year,2016,E08000010,,,Enterprise,,50-99
2750.0,Year,2016,E08000010,,,Enterprise,,100-249
1050.0,Year,2016,E08000010,,,Enterprise,,250-499
635.0,Year,2016,E08000010,,,Enterprise,,500-999
340.0,Year,2016,E08000010,,,Enterprise,,1000-1999
245.0,Year,2016,E08000010,,,Enterprise,,2000-4999
105.0,Year,2016,E08000010,,,Enterprise,,5000-9999
70.0,Year,2016,E08000010,,,Enterprise,,10000-49999
15.0,Year,2016,E08000010,,,Enterprise,,50000+
8855.0,Year,2016,E08000010,,,Enterprise,,Total
7105.0,Year,2016,E10000017,,,Enterprise,,0-49
