V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Legal status_codelist,Legal status,Size Band_codelist,Size Band
4255.0,Year,2017,E92000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,20-49
1675.0,Year,2017,E92000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,50-99
1265.0,Year,2017,E92000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,100-249
1080.0,Year,2017,E92000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,250+
72850.0,Year,2017,E92000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,Total
1823825.0,Year,2017,E92000001,,,Enterprise,Total,Total,,0-4
255075.0,Year,2017,E92000001,,,Enterprise,Total,Total,,5-9
129000.0,Year,2017,E92000001,,,Enterprise,Total,Total,,10-19
69030.0,Year,2017,E92000001,,,Enterprise,Total,Total,,20-49
22540.0,Year,2017,E92000001,,,Enterprise,Total,Total,,50-99
12795.0,Year,2017,E92000001,,,Enterprise,Total,Total,,100-249
8620.0,Year,2017,E92000001,,,Enterprise,Total,Total,,250+
2320885.0,Year,2017,E92000001,,,Enterprise,Total,Total,,Total
33335.0,Year,2017,E12000001,,,Enterprise,1,1 - Company (incl. Building Society),,0-4
5465.0,Year,2017,E12000001,,,Enterprise,1,1 - Company (incl. Building Society),,5-9
3270.0,Year,2017,E12000001,,,Enterprise,1,1 - Company (incl. Building Society),,10-19
1865.0,Year,2017,E12000001,,,Enterprise,1,1 - Company (incl. Building Society),,20-49
685.0,Year,2017,E12000001,,,Enterprise,1,1 - Company (incl. Building Society),,50-99
350.0,Year,2017,E12000001,,,Enterprise,1,1 - Company (incl. Building Society),,100-249
205.0,Year,2017,E12000001,,,Enterprise,1,1 - Company (incl. Building Society),,250+
45175.0,Year,2017,E12000001,,,Enterprise,1,1 - Company (incl. Building Society),,Total
12295.0,Year,2017,E12000001,,,Enterprise,2,2 - Sole Proprietor,,0-4
1815.0,Year,2017,E12000001,,,Enterprise,2,2 - Sole Proprietor,,5-9
375.0,Year,2017,E12000001,,,Enterprise,2,2 - Sole Proprietor,,10-19
85.0,Year,2017,E12000001,,,Enterprise,2,2 - Sole Proprietor,,20-49
5.0,Year,2017,E12000001,,,Enterprise,2,2 - Sole Proprietor,,50-99
0.0,Year,2017,E12000001,,,Enterprise,2,2 - Sole Proprietor,,100-249
0.0,Year,2017,E12000001,,,Enterprise,2,2 - Sole Proprietor,,250+
14575.0,Year,2017,E12000001,,,Enterprise,2,2 - Sole Proprietor,,Total
4680.0,Year,2017,E12000001,,,Enterprise,3,3 - Partnership,,0-4
1445.0,Year,2017,E12000001,,,Enterprise,3,3 - Partnership,,5-9
535.0,Year,2017,E12000001,,,Enterprise,3,3 - Partnership,,10-19
320.0,Year,2017,E12000001,,,Enterprise,3,3 - Partnership,,20-49
30.0,Year,2017,E12000001,,,Enterprise,3,3 - Partnership,,50-99
5.0,Year,2017,E12000001,,,Enterprise,3,3 - Partnership,,100-249
5.0,Year,2017,E12000001,,,Enterprise,3,3 - Partnership,,250+
7020.0,Year,2017,E12000001,,,Enterprise,3,3 - Partnership,,Total
5.0,Year,2017,E12000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,0-4
0.0,Year,2017,E12000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,5-9
0.0,Year,2017,E12000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,10-19
0.0,Year,2017,E12000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,20-49
5.0,Year,2017,E12000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50-99
0.0,Year,2017,E12000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,100-249
5.0,Year,2017,E12000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,250+
15.0,Year,2017,E12000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,Total
5.0,Year,2017,E12000001,,,Enterprise,5,5 - Central Government,,0-4
0.0,Year,2017,E12000001,,,Enterprise,5,5 - Central Government,,5-9
5.0,Year,2017,E12000001,,,Enterprise,5,5 - Central Government,,10-19
35.0,Year,2017,E12000001,,,Enterprise,5,5 - Central Government,,20-49
35.0,Year,2017,E12000001,,,Enterprise,5,5 - Central Government,,50-99
65.0,Year,2017,E12000001,,,Enterprise,5,5 - Central Government,,100-249
35.0,Year,2017,E12000001,,,Enterprise,5,5 - Central Government,,250+
180.0,Year,2017,E12000001,,,Enterprise,5,5 - Central Government,,Total
180.0,Year,2017,E12000001,,,Enterprise,6,6 - Local Authority,,0-4
15.0,Year,2017,E12000001,,,Enterprise,6,6 - Local Authority,,5-9
5.0,Year,2017,E12000001,,,Enterprise,6,6 - Local Authority,,10-19
10.0,Year,2017,E12000001,,,Enterprise,6,6 - Local Authority,,20-49
5.0,Year,2017,E12000001,,,Enterprise,6,6 - Local Authority,,50-99
5.0,Year,2017,E12000001,,,Enterprise,6,6 - Local Authority,,100-249
15.0,Year,2017,E12000001,,,Enterprise,6,6 - Local Authority,,250+
235.0,Year,2017,E12000001,,,Enterprise,6,6 - Local Authority,,Total
1290.0,Year,2017,E12000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,0-4
550.0,Year,2017,E12000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,5-9
415.0,Year,2017,E12000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,10-19
225.0,Year,2017,E12000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,20-49
60.0,Year,2017,E12000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,50-99
45.0,Year,2017,E12000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,100-249
45.0,Year,2017,E12000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,250+
2630.0,Year,2017,E12000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,Total
51790.0,Year,2017,E12000001,,,Enterprise,Total,Total,,0-4
