V4_0,Time_codelist,Time,Geography_codelist,Geography,Employment size band_codelist,Employment size band,Entity Type_codelist,Entity Type
70.0,Year,2016,E06000006,,,50-99,,Enterprise
30.0,Year,2016,E06000006,,,100-249,,Enterprise
20.0,Year,2016,E06000006,,,250+,,Enterprise
3660.0,Year,2016,E06000006,,,Total,,Enterprise
6210.0,Year,2016,E06000007,,,0-4,,Enterprise
840.0,Year,2016,E06000007,,,5-9,,Enterprise
450.0,Year,2016,E06000007,,,10-19,,Enterprise
265.0,Year,2016,E06000007,,,20-49,,Enterprise
120.0,Year,2016,E06000007,,,50-99,,Enterprise
45.0,Year,2016,E06000007,,,100-249,,Enterprise
40.0,Year,2016,E06000007,,,250+,,Enterprise
7970.0,Year,2016,E06000007,,,Total,,Enterprise
18540.0,Year,2016,E10000006,,,0-4,,Enterprise
2735.0,Year,2016,E10000006,,,5-9,,Enterprise
1370.0,Year,2016,E10000006,,,10-19,,Enterprise
730.0,Year,2016,E10000006,,,20-49,,Enterprise
210.0,Year,2016,E10000006,,,50-99,,Enterprise
115.0,Year,2016,E10000006,,,100-249,,Enterprise
55.0,Year,2016,E10000006,,,250+,,Enterprise
23755.0,Year,2016,E10000006,,,Total,,Enterprise
3510.0,Year,2016,E07000026,,,0-4,,Enterprise
540.0,Year,2016,E07000026,,,5-9,,Enterprise
255.0,Year,2016,E07000026,,,10-19,,Enterprise
125.0,Year,2016,E07000026,,,20-49,,Enterprise
40.0,Year,2016,E07000026,,,50-99,,Enterprise
20.0,Year,2016,E07000026,,,100-249,,Enterprise
10.0,Year,2016,E07000026,,,250+,,Enterprise
4500.0,Year,2016,E07000026,,,Total,,Enterprise
1570.0,Year,2016,E07000027,,,0-4,,Enterprise
215.0,Year,2016,E07000027,,,5-9,,Enterprise
105.0,Year,2016,E07000027,,,10-19,,Enterprise
75.0,Year,2016,E07000027,,,20-49,,Enterprise
15.0,Year,2016,E07000027,,,50-99,,Enterprise
10.0,Year,2016,E07000027,,,100-249,,Enterprise
5.0,Year,2016,E07000027,,,250+,,Enterprise
1995.0,Year,2016,E07000027,,,Total,,Enterprise
3580.0,Year,2016,E07000028,,,0-4,,Enterprise
570.0,Year,2016,E07000028,,,5-9,,Enterprise
270.0,Year,2016,E07000028,,,10-19,,Enterprise
155.0,Year,2016,E07000028,,,20-49,,Enterprise
45.0,Year,2016,E07000028,,,50-99,,Enterprise
30.0,Year,2016,E07000028,,,100-249,,Enterprise
25.0,Year,2016,E07000028,,,250+,,Enterprise
4675.0,Year,2016,E07000028,,,Total,,Enterprise
2145.0,Year,2016,E07000029,,,0-4,,Enterprise
235.0,Year,2016,E07000029,,,5-9,,Enterprise
100.0,Year,2016,E07000029,,,10-19,,Enterprise
55.0,Year,2016,E07000029,,,20-49,,Enterprise
20.0,Year,2016,E07000029,,,50-99,,Enterprise
10.0,Year,2016,E07000029,,,100-249,,Enterprise
0.0,Year,2016,E07000029,,,250+,,Enterprise
2565.0,Year,2016,E07000029,,,Total,,Enterprise
2885.0,Year,2016,E07000030,,,0-4,,Enterprise
415.0,Year,2016,E07000030,,,5-9,,Enterprise
200.0,Year,2016,E07000030,,,10-19,,Enterprise
85.0,Year,2016,E07000030,,,20-49,,Enterprise
25.0,Year,2016,E07000030,,,50-99,,Enterprise
10.0,Year,2016,E07000030,,,100-249,,Enterprise
5.0,Year,2016,E07000030,,,250+,,Enterprise
3625.0,Year,2016,E07000030,,,Total,,Enterprise
4850.0,Year,2016,E07000031,,,0-4,,Enterprise
760.0,Year,2016,E07000031,,,5-9,,Enterprise
440.0,Year,2016,E07000031,,,10-19,,Enterprise
235.0,Year,2016,E07000031,,,20-49,,Enterprise
65.0,Year,2016,E07000031,,,50-99,,Enterprise
35.0,Year,2016,E07000031,,,100-249,,Enterprise
10.0,Year,2016,E07000031,,,250+,,Enterprise
6395.0,Year,2016,E07000031,,,Total,,Enterprise
77885.0,Year,2016,E11000001,,,0-4,,Enterprise
11310.0,Year,2016,E11000001,,,5-9,,Enterprise
6040.0,Year,2016,E11000001,,,10-19,,Enterprise
3215.0,Year,2016,E11000001,,,20-49,,Enterprise
1080.0,Year,2016,E11000001,,,50-99,,Enterprise
560.0,Year,2016,E11000001,,,100-249,,Enterprise
