V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
280.0,Year,2016,E06000005,,,Enterprise,47,47 : Retail
145.0,Year,2016,E06000005,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
245.0,Year,2016,E06000005,,,Enterprise,55-56,55-56 : Accommodation & food services
155.0,Year,2016,E06000005,,,Enterprise,58-63,58-63 : Information & communication
55.0,Year,2016,E06000005,,,Enterprise,64-66,64-66 : Finance & insurance
95.0,Year,2016,E06000005,,,Enterprise,68,68 : Property
535.0,Year,2016,E06000005,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
225.0,Year,2016,E06000005,,,Enterprise,77-82,77-82 : Business administration & support services
10.0,Year,2016,E06000005,,,Enterprise,84,84 : Public administration & defence
70.0,Year,2016,E06000005,,,Enterprise,85,85 : Education
195.0,Year,2016,E06000005,,,Enterprise,86-88,86-88 : Health
260.0,Year,2016,E06000005,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
3210.0,Year,2016,E06000005,,,Enterprise,Total,Total
65.0,Year,2016,E06000001,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
205.0,Year,2016,E06000001,,,Enterprise,05-39,05-39 : Production
335.0,Year,2016,E06000001,,,Enterprise,41-43,41-43 : Construction
70.0,Year,2016,E06000001,,,Enterprise,45,45 : Motor trades
55.0,Year,2016,E06000001,,,Enterprise,46,46 : Wholesale
185.0,Year,2016,E06000001,,,Enterprise,47,47 : Retail
90.0,Year,2016,E06000001,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
185.0,Year,2016,E06000001,,,Enterprise,55-56,55-56 : Accommodation & food services
60.0,Year,2016,E06000001,,,Enterprise,58-63,58-63 : Information & communication
20.0,Year,2016,E06000001,,,Enterprise,64-66,64-66 : Finance & insurance
50.0,Year,2016,E06000001,,,Enterprise,68,68 : Property
620.0,Year,2016,E06000001,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
165.0,Year,2016,E06000001,,,Enterprise,77-82,77-82 : Business administration & support services
5.0,Year,2016,E06000001,,,Enterprise,84,84 : Public administration & defence
40.0,Year,2016,E06000001,,,Enterprise,85,85 : Education
100.0,Year,2016,E06000001,,,Enterprise,86-88,86-88 : Health
145.0,Year,2016,E06000001,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
2395.0,Year,2016,E06000001,,,Enterprise,Total,Total
