V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Legal status_codelist,Legal status,Size Band_codelist,Size Band
5.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,250-499
10.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,500-999
10.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,1000-1999
5.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,2000-4999
15.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,5000-9999
75.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,10000-49999
50.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50000+
185.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,Total
140.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,0-49
80.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,50-99
170.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,100-249
135.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,250-499
220.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,500-999
630.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,1000-1999
1065.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,2000-4999
920.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,5000-9999
375.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,10000-49999
315.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,50000+
4050.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,Total
4655.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,0-49
1155.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,50-99
595.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,100-249
250.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,250-499
195.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,500-999
280.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,1000-1999
435.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,2000-4999
200.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,5000-9999
230.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,10000-49999
110.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,50000+
8105.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,Total
21665.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,0-49
12685.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,50-99
21790.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,100-249
12130.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,250-499
7425.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,500-999
3935.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,1000-1999
2800.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,2000-4999
1110.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,5000-9999
965.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,10000-49999
270.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,50000+
