V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07,Turnover Size Band_codelist,Turnover Size Band
50.0,Year,2017,S92000003,,,Enterprise,02,02 : Forestry and logging,,1000-4999
10.0,Year,2017,S92000003,,,Enterprise,02,02 : Forestry and logging,,5000+
995.0,Year,2017,S92000003,,,Enterprise,02,02 : Forestry and logging,,Total
15.0,Year,2017,N92000002,,,Enterprise,02,02 : Forestry and logging,,0-49
10.0,Year,2017,N92000002,,,Enterprise,02,02 : Forestry and logging,,50-99
10.0,Year,2017,N92000002,,,Enterprise,02,02 : Forestry and logging,,100-249
5.0,Year,2017,N92000002,,,Enterprise,02,02 : Forestry and logging,,250-499
5.0,Year,2017,N92000002,,,Enterprise,02,02 : Forestry and logging,,500-999
5.0,Year,2017,N92000002,,,Enterprise,02,02 : Forestry and logging,,1000-4999
0.0,Year,2017,N92000002,,,Enterprise,02,02 : Forestry and logging,,5000+
50.0,Year,2017,N92000002,,,Enterprise,02,02 : Forestry and logging,,Total
1335.0,Year,2017,K02000001,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
765.0,Year,2017,K02000001,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
1090.0,Year,2017,K02000001,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
360.0,Year,2017,K02000001,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
190.0,Year,2017,K02000001,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
165.0,Year,2017,K02000001,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
40.0,Year,2017,K02000001,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
3945.0,Year,2017,K02000001,,,Enterprise,03,03 : Fishing and aquaculture,,Total
1275.0,Year,2017,K03000001,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
725.0,Year,2017,K03000001,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
1040.0,Year,2017,K03000001,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
325.0,Year,2017,K03000001,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
180.0,Year,2017,K03000001,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
160.0,Year,2017,K03000001,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
40.0,Year,2017,K03000001,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
3745.0,Year,2017,K03000001,,,Enterprise,03,03 : Fishing and aquaculture,,Total
730.0,Year,2017,K04000001,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
