V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Age Group_codelist,Age Group,Earnings_codelist,Earnings,Gender_codelist,Gender,Pension Type_codelist,Pension Type
8.0,,13.0,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Unknown pension provision
231.0,,2.5,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,No pension provisiond
203.0,,2.7,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Defined benefit
227.0,,2.5,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Defined contribution
142.0,,3.2,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Group personal pension
5.0,,19.0,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Group self-invested personal pension
55.0,,5.1,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Group stakeholder pension
16.0,,9.8,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Unknown pension provision
255.0,,2.5,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,No pension provisiond
235.0,,2.5,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Defined benefit
205.0,,2.7,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Defined contribution
159.0,,3.2,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Group personal pension
5.0,,17.0,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Group self-invested personal pension
48.0,,5.7,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Group stakeholder pension
16.0,,10.0,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Unknown pension provision
229.0,,2.7,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,No pension provisiond
230.0,,2.7,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Defined benefit
158.0,,3.2,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Defined contribution
140.0,,3.5,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Group personal pension
4.0,,20.0,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Group self-invested personal pension
45.0,,6.2,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Group stakeholder pension
10.0,,13.0,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Unknown pension provision
170.0,,3.2,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,No pension provisiond
806.0,,1.4,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Defined benefit
452.0,,2.0,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Defined contribution
477.0,,2.0,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Group personal pension
25.0,,8.8,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Group self-invested personal pension
118.0,,3.9,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Group stakeholder pension
30.0,,7.9,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Unknown pension provision
344.0,,2.3,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,No pension provisiond
2322.0,,0.8,Year,2016,K02000001,,,40 - 49,,Total,,All,,Defined benefit
1207.0,,1.1,Year,2016,K02000001,,,40 - 49,,Total,,All,,Defined contribution
959.0,,1.3,Year,2016,K02000001,,,40 - 49,,Total,,All,,Group personal pension
48.0,,6.0,Year,2016,K02000001,,,40 - 49,,Total,,All,,Group self-invested personal pension
303.0,,2.3,Year,2016,K02000001,,,40 - 49,,Total,,All,,Group stakeholder pension
89.0,,4.3,Year,2016,K02000001,,,40 - 49,,Total,,All,,Unknown pension provision
1604.0,,0.9,Year,2016,K02000001,,,40 - 49,,Total,,All,,No pension provisiond
61.0,,4.5,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Defined benefit
18.0,,8.6,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Defined contribution
7.0,,14.0,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Group personal pension
,x,58.0,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Group self-invested personal pension
4.0,,18.0,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Group stakeholder pension
,x,36.0,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Unknown pension provision
174.0,,2.8,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,No pension provisiond
136.0,,3.1,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Defined benefit
80.0,,4.0,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Defined contribution
25.0,,7.4,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Group personal pension
,x,31.0,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Group self-invested personal pension
15.0,,9.2,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Group stakeholder pension
5.0,,17.0,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Unknown pension provision
336.0,,2.0,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,No pension provisiond
224.0,,2.4,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Defined benefit
157.0,,2.9,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Defined contribution
70.0,,4.5,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Group personal pension
,x,24.0,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Group self-invested personal pension
30.0,,6.6,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Group stakeholder pension
11.0,,12.0,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Unknown pension provision
241.0,,2.5,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,No pension provisiond
276.0,,2.2,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Defined benefit
198.0,,2.6,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Defined contribution
123.0,,3.4,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Group personal pension
,x,22.0,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Group self-invested personal pension
44.0,,5.6,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Group stakeholder pension
17.0,,9.3,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Unknown pension provision
226.0,,2.6,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,No pension provisiond
286.0,,2.3,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Defined benefit
157.0,,3.1,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Defined contribution
137.0,,3.4,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Group personal pension
7.0,,16.0,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Group self-invested personal pension
40.0,,6.3,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Group stakeholder pension
13.0,,11.0,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Unknown pension provision
186.0,,3.0,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,No pension provisiond
240.0,,2.6,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Defined benefit
142.0,,3.4,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Defined contribution
115.0,,3.8,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Group personal pension
6.0,,18.0,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Group self-invested personal pension
35.0,,6.9,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Group stakeholder pension
11.0,,13.0,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,Unknown pension provision
139.0,,3.5,Year,2016,K02000001,,,40 - 49,,£500 - £600,,All,,No pension provisiond
