V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Age Group_codelist,Age Group,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision
21.0,,3.0,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Defined contribution
6.1,,6.4,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Group personal pension
,x,39.0,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Group self-invested personal pension
2.9,,8.9,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Group stakeholder pension
0.8,,18.0,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Unknown pension provision
58.9,,1.3,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,No pension provision
13.5,,3.5,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Defined benefit
30.6,,2.0,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Defined contribution
11.4,,3.9,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Group personal pension
,x,25.0,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Group self-invested personal pension
3.9,,6.5,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Group stakeholder pension
1.7,,11.0,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Unknown pension provision
38.6,,1.8,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,No pension provision
14.4,,2.8,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Defined benefit
28.0,,1.9,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Defined contribution
17.4,,2.6,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Group personal pension
0.5,,17.0,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Group self-invested personal pension
4.9,,5.0,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Group stakeholder pension
1.8,,8.7,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Unknown pension provision
33.2,,1.7,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,No pension provision
22.4,,2.5,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Defined benefit
22.8,,2.4,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Defined contribution
18.8,,2.8,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Group personal pension
0.7,,17.0,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Group self-invested personal pension
5.7,,5.5,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Group stakeholder pension
1.7,,11.0,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Unknown pension provision
27.9,,2.2,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,No pension provision
31.4,,2.5,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Defined benefit
20.0,,3.3,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Defined contribution
19.5,,3.5,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Group personal pension
0.8,,19.0,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Group self-invested personal pension
5.1,,7.4,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Group stakeholder pension
1.7,,13.0,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Unknown pension provision
21.6,,3.3,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,No pension provision
28.3,,2.4,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Defined benefit
23.4,,2.7,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Defined contribution
21.7,,2.9,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Group personal pension
0.9,,17.0,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Group self-invested personal pension
5.7,,6.1,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Group stakeholder pension
1.4,,13.0,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Unknown pension provision
18.7,,3.2,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,No pension provision
28.2,,0.8,Year,2016,K02000001,,,30 - 39,,All,,All,,Defined benefit
21.1,,1.0,Year,2016,K02000001,,,30 - 39,,All,,All,,Defined contribution
16.4,,1.2,Year,2016,K02000001,,,30 - 39,,All,,All,,Group personal pension
0.7,,6.4,Year,2016,K02000001,,,30 - 39,,All,,All,,Group self-invested personal pension
5.1,,2.2,Year,2016,K02000001,,,30 - 39,,All,,All,,Group stakeholder pension
1.4,,4.4,Year,2016,K02000001,,,30 - 39,,All,,All,,Unknown pension provision
27.3,,0.8,Year,2016,K02000001,,,30 - 39,,All,,All,,No pension provision
17.9,,5.3,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Defined benefit
9.3,,7.8,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Defined contribution
3.4,,14.0,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Group self-invested personal pension
,x,24.0,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Group stakeholder pension
,x,38.0,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Unknown pension provision
67.8,,1.7,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,No pension provision
18.4,,3.1,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Defined benefit
15.4,,3.4,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Defined contribution
6.7,,5.6,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Group personal pension
,x,27.0,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Group self-invested personal pension
3.2,,7.8,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Group stakeholder pension
0.7,,18.0,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Unknown pension provision
55.3,,1.3,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,No pension provision
22.5,,2.7,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Defined benefit
25.8,,2.4,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Defined contribution
10.0,,4.4,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Group personal pension
,x,27.0,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Group self-invested personal pension
4.7,,6.4,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Group stakeholder pension
1.2,,13.0,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Unknown pension provision
35.5,,2.0,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,No pension provision
22.5,,2.4,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Defined benefit
25.2,,2.2,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Defined contribution
15.7,,3.0,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Group personal pension
0.5,,19.0,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Group self-invested personal pension
6.1,,5.0,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Group stakeholder pension
1.8,,9.7,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,Unknown pension provision
28.2,,2.1,Year,2016,K02000001,,,30 - 39,,£300 - £400,,All,,No pension provision
26.2,,2.2,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Defined benefit
22.8,,2.4,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Defined contribution
17.8,,2.9,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Group personal pension
0.6,,17.0,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Group self-invested personal pension
5.3,,5.6,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Group stakeholder pension
1.8,,10.0,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,Unknown pension provision
25.6,,2.3,Year,2016,K02000001,,,30 - 39,,£400 - £500,,All,,No pension provision
30.4,,2.2,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Defined benefit
20.9,,2.9,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Defined contribution
18.5,,3.2,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Group personal pension
0.6,,20.0,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Group self-invested personal pension
5.9,,6.0,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Group stakeholder pension
1.4,,13.0,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,Unknown pension provision
22.4,,2.8,Year,2016,K02000001,,,30 - 39,,£500 - £600,,All,,No pension provision
35.8,,1.2,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Defined benefit
20.1,,1.8,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Defined contribution
21.2,,1.8,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Group personal pension
1.1,,8.8,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Group self-invested personal pension
5.3,,3.9,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Group stakeholder pension
1.4,,7.9,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,Unknown pension provision
15.3,,2.2,Year,2016,K02000001,,,30 - 39,,£600 and over,,All,,No pension provision
35.6,,0.7,Year,2016,K02000001,,,40 - 49,,All,,All,,Defined benefit
18.5,,1.0,Year,2016,K02000001,,,40 - 49,,All,,All,,Defined contribution
14.7,,1.2,Year,2016,K02000001,,,40 - 49,,All,,All,,Group personal pension
0.7,,6.0,Year,2016,K02000001,,,40 - 49,,All,,All,,Group self-invested personal pension
4.7,,2.3,Year,2016,K02000001,,,40 - 49,,All,,All,,Group stakeholder pension
1.4,,4.3,Year,2016,K02000001,,,40 - 49,,All,,All,,Unknown pension provision
24.6,,0.9,Year,2016,K02000001,,,40 - 49,,All,,All,,No pension provision
23.1,,4.0,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Defined benefit
6.8,,8.3,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Defined contribution
2.5,,14.0,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Group personal pension
,x,58.0,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Group self-invested personal pension
1.6,,18.0,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Group stakeholder pension
,x,36.0,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,Unknown pension provision
65.4,,1.6,Year,2016,K02000001,,,40 - 49,,Less than £100,,All,,No pension provision
22.8,,2.8,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Defined benefit
13.4,,3.7,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Defined contribution
4.2,,7.3,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Group personal pension
,x,31.0,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Group self-invested personal pension
2.4,,9.2,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Group stakeholder pension
0.8,,17.0,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,Unknown pension provision
56.1,,1.3,Year,2016,K02000001,,,40 - 49,,£100 - £200,,All,,No pension provision
30.4,,2.1,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Defined benefit
21.4,,2.6,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Defined contribution
9.6,,4.3,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Group personal pension
,x,23.0,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Group self-invested personal pension
4.1,,6.5,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Group stakeholder pension
1.5,,11.0,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,Unknown pension provision
32.7,,2.0,Year,2016,K02000001,,,40 - 49,,£200 - £300,,All,,No pension provision
31.2,,1.9,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Defined benefit
22.3,,2.4,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Defined contribution
13.9,,3.2,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Group personal pension
,x,22.0,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Group self-invested personal pension
5.0,,5.5,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Group stakeholder pension
1.9,,9.2,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,Unknown pension provision
25.5,,2.2,Year,2016,K02000001,,,40 - 49,,£300 - £400,,All,,No pension provision
34.7,,1.9,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Defined benefit
19.1,,2.8,Year,2016,K02000001,,,40 - 49,,£400 - £500,,All,,Defined contribution
