V4_0,Time_codelist,Time,Geography_codelist,Geography,Transactions_codelist,Transactions,Flow_codelist,Flow
4323,Year,1999,K02000001,,,Direct Transactions,,Disposal
3985,Year,2000,K02000001,,,Direct Transactions,,Disposal
1528,Year,2001,K02000001,,,Direct Transactions,,Disposal
4217,Year,2002,K02000001,,,Direct Transactions,,Disposal
994,Year,2003,K02000001,,,Direct Transactions,,Disposal
3564,Year,2004,K02000001,,,Direct Transactions,,Disposal
4659,Year,2005,K02000001,,,Direct Transactions,,Disposal
6246,Year,2006,K02000001,,,Direct Transactions,,Disposal
4038,Year,2007,K02000001,,,Direct Transactions,,Disposal
1485,Year,2008,K02000001,,,Direct Transactions,,Disposal
6572,Year,2009,K02000001,,,Direct Transactions,,Disposal
4961,Year,2010,K02000001,,,Direct Transactions,,Disposal
8589,Year,2011,K02000001,,,Direct Transactions,,Disposal
5821,Year,2012,K02000001,,,Direct Transactions,,Disposal
1541,Year,2013,K02000001,,,Direct Transactions,,Disposal
2415,Year,2014,K02000001,,,Direct Transactions,,Disposal
7006,Year,2015,K02000001,,,Direct Transactions,,Disposal
6095,Year,2016,K02000001,,,Direct Transactions,,Disposal
359,Year,1986,K02000001,,,Indirect Funded Locally,,Acquisition
335,Year,1987,K02000001,,,Indirect Funded Locally,,Acquisition
3049,Year,1988,K02000001,,,Indirect Funded Locally,,Acquisition
1327,Year,1989,K02000001,,,Indirect Funded Locally,,Acquisition
1029,Year,1990,K02000001,,,Indirect Funded Locally,,Acquisition
2400,Year,1991,K02000001,,,Indirect Funded Locally,,Acquisition
762,Year,1992,K02000001,,,Indirect Funded Locally,,Acquisition
1087,Year,1993,K02000001,,,Indirect Funded Locally,,Acquisition
715,Year,1994,K02000001,,,Indirect Funded Locally,,Acquisition
1655,Year,1995,K02000001,,,Indirect Funded Locally,,Acquisition
3138,Year,1996,K02000001,,,Indirect Funded Locally,,Acquisition
4093,Year,1997,K02000001,,,Indirect Funded Locally,,Acquisition
5368,Year,1998,K02000001,,,Indirect Funded Locally,,Acquisition
6023,Year,1999,K02000001,,,Indirect Funded Locally,,Acquisition
3503,Year,2000,K02000001,,,Indirect Funded Locally,,Acquisition
4888,Year,2001,K02000001,,,Indirect Funded Locally,,Acquisition
890,Year,2002,K02000001,,,Indirect Funded Locally,,Acquisition
3298,Year,2003,K02000001,,,Indirect Funded Locally,,Acquisition
3504,Year,2004,K02000001,,,Indirect Funded Locally,,Acquisition
6708,Year,2005,K02000001,,,Indirect Funded Locally,,Acquisition
18049,Year,2006,K02000001,,,Indirect Funded Locally,,Acquisition
12705,Year,2007,K02000001,,,Indirect Funded Locally,,Acquisition
7712,Year,2008,K02000001,,,Indirect Funded Locally,,Acquisition
1416,Year,2010,K02000001,,,Indirect Funded Locally,,Acquisition
3257,Year,2011,K02000001,,,Indirect Funded Locally,,Acquisition
1538,Year,2012,K02000001,,,Indirect Funded Locally,,Acquisition
1934,Year,2014,K02000001,,,Indirect Funded Locally,,Acquisition
3620,Year,2015,K02000001,,,Indirect Funded Locally,,Acquisition
2817,Year,2016,K02000001,,,Indirect Funded Locally,,Acquisition
119,Year,1986,K02000001,,,Indirect By Overseas Parent,,Acquisition
433,Year,1987,K02000001,,,Indirect By Overseas Parent,,Acquisition
341,Year,1988,K02000001,,,Indirect By Overseas Parent,,Acquisition
4608,Year,1989,K02000001,,,Indirect By Overseas Parent,,Acquisition
2925,Year,1990,K02000001,,,Indirect By Overseas Parent,,Acquisition
589,Year,1991,K02000001,,,Indirect By Overseas Parent,,Acquisition
220,Year,1992,K02000001,,,Indirect By Overseas Parent,,Acquisition
225,Year,1993,K02000001,,,Indirect By Overseas Parent,,Acquisition
883,Year,1994,K02000001,,,Indirect By Overseas Parent,,Acquisition
2465,Year,1995,K02000001,,,Indirect By Overseas Parent,,Acquisition
1820,Year,1996,K02000001,,,Indirect By Overseas Parent,,Acquisition
3030,Year,1997,K02000001,,,Indirect By Overseas Parent,,Acquisition
5991,Year,1998,K02000001,,,Indirect By Overseas Parent,,Acquisition
19949,Year,1999,K02000001,,,Indirect By Overseas Parent,,Acquisition
4223,Year,2000,K02000001,,,Indirect By Overseas Parent,,Acquisition
7797,Year,2001,K02000001,,,Indirect By Overseas Parent,,Acquisition
